POA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA4022,20,34,53,493,655,1148,0,0,0,164,184,345,10,17,34,532,726,1261,3,10,15,14,22,35,22,32,53,22,34,53,41,53,91,3,0,0,61,75,141,95,121,217,103,163,273,17,24,40,26,20,45,116,192,309,209,220,423,14,11,26,1937,2568,4502,26,29,53,5,3,8,3,3,6,0,0,0,0,0,0,7,11,18,12,12,21,992,884,1880,10,7,16,3,0,4,1003,894,1898,310,307,616,3317,3846,7165
POA4025,8,9,18,24,20,46,0,0,0,0,3,3,0,0,0,29,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,0,0,0,0,0,0,7,3,9,9,0,4,0,0,0,73,58,126,11,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,50,106,3,0,3,0,0,0,61,50,107,62,44,106,208,155,368
POA4029,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,20,40,63,31,47,81
POA4030,123,157,278,731,931,1667,0,0,0,107,115,226,3,0,5,1983,2195,4172,4,4,7,50,62,103,12,23,37,9,7,10,31,31,62,5,9,13,20,23,46,72,82,158,141,150,292,11,20,30,12,14,18,222,271,496,127,162,297,10,9,19,3556,4099,7653,319,259,580,97,88,182,8,12,21,0,0,0,75,56,132,45,44,93,126,98,223,3177,2684,5863,45,46,91,20,15,36,3239,2752,5994,835,760,1594,8298,8233,16530
POA4031,63,85,147,663,782,1449,0,0,0,99,117,218,0,0,0,2037,2222,4262,3,5,8,30,36,69,17,19,37,9,10,17,32,46,77,8,7,20,23,29,47,62,88,157,140,140,280,4,7,10,10,16,28,160,227,393,134,136,266,7,7,21,3444,3904,7349,128,125,249,62,49,110,6,10,13,0,0,3,63,45,107,24,24,45,89,66,154,2226,2018,4245,24,37,62,5,6,14,2263,2062,4321,606,639,1245,6651,6932,13588
POA4032,111,168,280,746,894,1643,0,0,0,153,187,342,3,0,3,1907,2283,4191,4,3,10,53,57,114,15,36,50,16,24,42,40,37,76,20,27,44,44,57,101,98,127,220,183,221,404,11,13,27,28,38,60,286,449,740,173,214,389,11,6,25,3805,4679,8485,210,203,415,120,107,233,7,10,11,0,0,3,134,116,244,30,34,59,163,151,311,2245,2050,4295,39,25,63,18,29,41,2303,2100,4401,723,913,1634,7440,8338,15777
POA4034,284,392,679,2431,3010,5440,0,0,0,470,558,1029,3,5,7,5893,6599,12493,32,38,69,156,160,318,60,93,158,66,72,139,123,181,307,14,26,34,112,132,244,318,364,681,492,631,1121,49,68,112,49,62,111,933,1323,2253,510,606,1122,43,42,83,11746,13962,25707,616,583,1198,205,196,397,5,8,17,8,0,8,526,408,935,69,89,163,604,496,1101,6294,5326,11622,76,57,135,32,31,59,6399,5423,11813,1835,1717,3552,21684,22772,44463
POA4035,83,142,225,1696,2012,3707,0,0,0,475,506,985,0,0,0,3329,3717,7049,10,9,17,88,90,184,44,51,99,15,13,34,117,148,266,3,5,10,70,75,140,208,208,411,339,358,690,32,29,62,14,27,44,643,836,1480,306,356,667,23,23,44,7412,8466,15883,241,237,480,73,55,126,8,0,11,0,3,3,39,36,74,24,38,60,64,79,143,3052,2632,5689,39,30,65,4,10,21,3098,2677,5772,784,787,1578,11767,12440,24209
POA4036,40,44,87,421,481,905,0,0,0,108,114,222,0,0,0,688,799,1485,11,9,18,10,8,22,17,19,39,13,20,32,31,32,62,4,3,3,13,21,35,58,74,126,96,96,185,19,19,36,3,3,6,178,209,391,80,73,160,11,14,20,1756,2003,3758,59,54,115,26,21,48,0,0,4,0,3,7,18,21,45,5,13,17,27,41,67,1048,885,1934,19,9,33,4,3,9,1072,901,1972,210,243,453,3197,3305,6502
POA4037,21,23,43,636,633,1269,0,0,0,165,175,349,0,0,0,995,1062,2059,0,0,0,19,13,29,14,14,29,3,0,3,33,46,79,0,0,0,24,21,47,66,84,151,117,137,252,3,12,15,6,7,16,170,207,377,141,146,289,11,12,20,2407,2580,4984,30,26,49,11,9,18,0,3,3,0,0,0,10,5,11,18,10,23,20,12,34,1180,1110,2289,9,5,13,7,7,12,1199,1125,2323,258,253,518,3951,4023,7973
POA4051,149,197,344,1497,1727,3230,0,0,0,195,218,414,3,7,7,3671,3958,7631,8,10,21,79,86,166,25,19,45,22,18,46,63,88,150,4,0,9,20,29,50,126,161,294,282,310,590,15,12,27,13,13,25,480,628,1104,227,241,463,21,17,37,6756,7539,14296,224,167,391,55,42,102,21,15,33,0,0,0,37,25,65,38,41,77,77,67,142,5109,4482,9595,87,74,154,35,43,80,5232,4601,9829,1236,1152,2391,13752,13783,27531
POA4053,205,332,530,2410,2925,5341,0,0,0,474,589,1065,7,9,13,5946,6764,12710,24,31,56,116,116,230,61,71,130,58,57,113,179,198,373,18,10,26,90,90,178,380,497,882,615,678,1296,48,66,111,17,21,33,838,1099,1937,478,613,1091,23,26,49,11768,13856,25629,214,195,403,111,135,245,15,19,36,3,0,3,57,47,101,48,87,135,106,127,236,7042,6423,13473,85,71,157,39,47,83,7167,6543,13712,1661,1530,3188,21243,22740,43986
POA4054,47,88,134,837,1047,1887,0,0,0,180,199,375,0,0,0,1612,1852,3462,16,18,36,18,28,47,12,14,28,25,27,51,51,53,107,0,0,0,26,32,55,109,127,235,208,229,438,9,26,33,8,10,17,335,419,752,145,172,321,18,18,29,3605,4267,7879,32,19,52,15,15,31,5,8,19,0,0,0,4,3,14,17,26,46,26,35,59,2327,2121,4450,23,34,58,12,24,33,2366,2171,4538,462,435,902,6571,7045,13620
POA4055,71,92,160,1506,1577,3084,0,0,0,317,334,652,0,0,0,2576,2765,5340,26,27,56,29,43,67,18,38,59,24,34,58,105,107,207,6,4,4,42,37,78,146,158,303,274,317,586,14,17,29,10,6,16,492,644,1139,265,285,548,30,25,62,5877,6413,12296,51,52,103,21,22,47,10,3,10,0,0,0,16,21,42,16,34,48,31,56,93,3404,3004,6410,53,37,95,13,16,35,3477,3060,6545,661,648,1309,10204,10355,20561
POA4059,165,205,368,450,528,971,0,0,0,50,87,140,0,0,0,1110,1252,2364,0,0,0,43,46,86,6,17,22,7,4,11,33,33,61,5,3,7,16,19,27,36,62,104,108,89,196,36,14,50,4,3,7,125,163,293,109,143,250,11,13,21,2136,2471,4605,115,101,213,325,295,626,4,15,20,0,0,0,10,8,20,20,21,40,30,27,56,3071,2873,5944,41,33,78,17,10,29,3132,2913,6050,822,735,1554,6728,6760,13495
POA4060,41,76,116,685,736,1425,0,0,0,62,64,127,0,0,0,2288,2349,4638,10,4,16,31,28,53,3,4,9,3,7,7,36,46,83,0,4,3,7,8,18,20,39,58,99,102,200,6,8,15,3,0,6,209,300,511,93,98,198,13,14,29,3573,3811,7380,54,45,103,28,20,50,23,11,30,0,0,0,12,10,16,13,22,36,29,24,56,2196,1969,4165,44,29,77,9,18,21,2244,2016,4261,528,515,1047,6513,6526,13039
POA4061,68,87,157,1023,1220,2238,0,0,0,149,149,300,0,0,0,2125,2416,4538,10,7,13,70,86,156,6,22,26,7,10,12,45,61,109,0,0,3,31,22,55,66,78,148,218,213,425,5,11,20,0,0,0,416,548,968,132,153,280,23,19,39,4316,5014,9333,61,62,125,20,18,35,14,17,29,0,0,0,3,9,7,21,42,66,26,50,79,2974,2632,5609,32,28,62,6,24,30,3015,2690,5704,600,637,1232,8120,8568,16692
POA4064,50,73,127,548,660,1207,0,0,0,37,56,92,0,0,0,1174,1333,2506,0,0,6,66,58,127,4,3,5,3,0,3,37,48,82,0,0,0,4,9,10,20,25,41,89,91,178,8,3,9,3,4,8,125,172,298,69,95,165,0,4,6,2181,2559,4746,50,42,87,46,42,80,11,9,21,0,0,0,10,9,15,18,31,50,29,36,65,2343,2178,4518,51,32,84,15,14,32,2404,2231,4638,566,507,1075,5338,5500,10837
POA4065,26,38,63,553,711,1262,0,0,0,31,46,74,0,0,3,1170,1377,2547,0,9,7,28,33,60,15,10,21,5,0,4,28,33,57,0,3,4,10,9,19,25,32,56,91,106,204,0,3,3,3,3,9,156,203,358,85,116,204,14,14,23,2214,2703,4923,7,3,16,12,10,22,10,6,20,0,0,0,0,4,5,18,9,24,18,12,30,1834,1704,3538,13,14,31,12,12,22,1857,1738,3590,417,418,836,4566,4939,9500
POA4066,123,207,339,692,866,1559,0,0,0,113,120,235,0,0,0,1485,1795,3273,4,9,10,50,56,105,16,16,28,9,6,15,48,75,126,0,4,9,31,36,70,60,86,138,156,179,327,13,12,23,12,3,16,261,336,601,140,169,308,6,9,14,3099,3764,6864,193,164,357,104,91,196,19,17,28,0,0,0,28,23,54,25,18,45,60,42,99,3480,3305,6786,74,43,112,21,25,43,3569,3371,6947,996,880,1873,8164,8536,16698
POA4067,248,296,545,385,470,853,0,0,0,47,43,89,0,0,0,625,721,1345,4,5,3,29,30,55,3,3,3,0,0,0,37,44,84,3,3,9,27,35,68,36,36,73,102,107,209,0,4,4,10,10,16,129,178,309,112,141,250,3,3,10,1544,1832,3377,146,112,257,385,486,870,18,10,29,0,0,0,5,9,15,15,20,40,24,30,53,2100,1963,4067,34,15,47,11,12,25,2145,1991,4143,584,570,1147,5099,5331,10424
POA4068,231,339,567,1182,1513,2695,0,0,0,178,191,366,0,0,0,1958,2255,4209,4,3,10,77,86,163,25,23,47,10,10,17,115,128,241,3,3,9,50,68,119,75,95,167,244,277,519,9,6,17,20,18,36,473,574,1047,230,307,535,18,15,28,4667,5564,10235,373,350,725,310,282,591,39,40,81,0,0,0,36,29,62,62,58,117,99,86,179,4662,4241,8900,84,41,127,13,30,39,4750,4313,9064,1135,1038,2171,11602,12014,23617
POA4069,219,337,560,2455,2783,5241,0,0,0,464,515,974,0,4,5,3243,3676,6921,7,19,30,115,117,233,27,25,51,12,12,22,202,246,452,5,5,6,89,95,182,104,137,240,467,459,929,14,16,29,6,15,17,899,1134,2028,357,388,740,29,39,69,8487,9682,18169,286,292,581,91,109,206,65,67,136,4,0,4,36,26,60,47,71,112,81,99,179,5829,5148,10974,81,51,136,39,54,92,5946,5249,11196,1316,1288,2606,16491,17132,33627
POA4070,71,112,184,820,937,1752,0,0,0,202,234,434,0,0,0,1135,1205,2337,4,3,7,20,24,43,7,18,22,15,18,35,58,67,125,3,3,4,52,58,107,43,31,75,161,147,307,4,12,17,3,9,12,367,444,812,141,162,303,20,12,35,3045,3387,6429,99,101,197,27,22,52,11,16,24,0,0,0,17,12,26,19,21,39,32,35,67,1977,1812,3797,24,22,43,0,12,18,2004,1850,3855,409,401,805,5691,5922,11613
POA4072,15,35,45,84,146,228,0,0,0,4,17,23,0,0,0,206,307,510,0,0,0,3,4,9,0,0,0,0,0,0,3,11,17,0,0,0,0,6,12,0,10,14,15,25,47,0,0,0,0,0,0,24,36,60,9,21,33,0,4,9,360,591,954,13,16,36,3,21,23,7,0,5,0,0,0,0,0,0,3,0,3,3,0,3,452,461,917,12,0,15,0,0,0,464,465,930,73,75,153,946,1210,2152
POA4073,109,147,251,533,688,1223,0,0,0,129,162,289,0,0,0,1067,1232,2303,7,13,18,32,32,70,11,14,25,0,3,3,64,79,146,6,4,11,21,25,47,46,57,100,138,136,273,4,7,12,10,8,18,229,295,521,107,118,226,15,19,39,2426,2899,5327,150,159,309,71,56,134,12,10,22,0,0,0,45,40,87,7,16,25,59,51,113,1282,1175,2454,3,18,26,3,11,17,1285,1204,2497,238,252,490,4352,4789,9138
POA4074,354,444,805,1368,1619,2993,0,0,0,331,359,694,0,0,3,2352,2643,4994,37,38,73,129,153,285,14,32,43,44,29,70,161,200,359,17,12,25,47,67,115,137,154,289,318,336,655,36,47,85,16,19,39,626,740,1368,279,310,587,17,26,42,5926,6788,12713,321,317,637,123,133,254,25,34,54,0,0,0,25,19,46,57,74,133,82,95,180,3985,3376,7359,41,32,77,13,23,33,4038,3428,7472,832,785,1617,11705,12024,23735
POA4075,263,341,600,1328,1642,2976,0,0,0,157,163,319,6,8,10,2600,3037,5634,9,8,15,63,61,120,18,32,49,21,23,41,108,153,258,17,16,36,49,40,94,81,98,175,241,283,522,3,18,24,15,21,33,537,692,1229,198,224,420,28,31,63,5474,6545,12015,167,168,330,182,205,384,19,16,33,0,0,0,45,36,87,42,48,89,93,86,179,4057,3549,7607,46,36,82,18,31,52,4112,3619,7730,996,1084,2081,11301,12048,23352
POA4076,172,204,377,141,129,275,0,0,0,41,55,96,0,0,0,657,650,1307,3,0,6,31,26,51,18,16,28,9,3,11,14,17,31,0,3,3,10,12,24,24,31,52,42,31,68,7,4,10,4,10,20,68,59,128,84,60,142,3,0,3,1151,1107,2264,68,48,118,140,126,263,3,0,5,0,0,3,63,51,117,11,15,24,77,68,144,702,548,1252,12,6,21,4,8,11,717,565,1277,2955,697,3649,5285,2824,8107
POA4077,1659,1990,3646,921,1209,2130,0,0,0,286,322,607,0,0,0,2991,3322,6309,15,14,30,124,141,263,88,124,205,172,181,350,61,79,141,103,124,229,158,202,359,262,325,592,244,247,493,19,41,65,69,81,150,396,485,881,430,514,943,30,34,66,6383,7438,13821,297,295,588,1124,1123,2249,13,15,29,0,3,9,173,122,292,54,58,111,227,177,408,3373,2935,6309,21,17,34,19,25,41,3411,2976,6388,1799,1833,3633,14915,15842,30758
POA4078,636,798,1440,1291,1660,2952,0,0,0,325,401,721,0,3,3,2358,2661,5022,13,19,31,123,124,245,28,53,75,159,154,312,87,117,205,34,32,70,79,105,187,240,260,501,252,295,551,33,49,82,65,44,108,436,581,1019,414,473,887,11,13,30,5948,7048,13001,416,386,807,303,292,600,8,10,10,0,0,3,98,85,178,64,79,145,159,168,324,3865,3516,7378,44,29,72,14,27,40,3918,3574,7491,1058,1083,2138,12449,13355,25806
POA4101,445,585,1030,658,719,1381,0,0,0,75,90,161,0,0,0,1485,1721,3211,9,3,9,583,644,1232,11,12,26,11,19,34,46,56,102,4,7,11,37,20,58,79,82,162,158,182,347,3,5,7,14,13,29,172,251,424,193,219,410,9,12,18,3550,4065,7615,262,220,481,289,188,474,37,22,57,0,0,3,29,30,54,58,66,117,82,98,180,5101,4749,9857,70,63,130,21,57,79,5200,4866,10071,1584,1374,2957,11451,11412,22861
