POA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA4161,12,0,318,11,27,0,0,27,0,33,0,3,0,0,5,0,5,0,0,0,0,0,0,0,11,29,0,0,30,0,45,0,0,0,0,0,0,0,324,38,4,0,40,0,360,95,5,0,0,5,0,99,0,10,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14,0,16,0,0,0,0,0,0,0,101,13,0,0,14,0,113,44,0,0,0,0,0,47,3,8,0,0,8,0,10,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,10,0,0,10,0,11,0,0,0,0,0,0,0,47,12,0,0,12,0,63,2477,71,0,0,72,0,2548,76,174,4,0,186,0,258,0,10,7,0,21,0,22,0,0,0,0,0,0,0,76,190,17,0,204,0,280,3,0,0,0,0,3,7,2559,257,18,0,271,4,2835
POA4163,5,0,290,5,20,0,3,24,0,32,0,0,3,0,3,0,6,0,0,0,0,0,0,0,9,21,6,3,25,0,38,0,0,0,0,0,0,0,294,26,6,3,35,0,327,109,4,0,0,4,0,112,7,5,0,0,5,0,17,0,0,4,0,7,0,7,0,0,0,0,0,0,0,7,12,4,0,10,0,17,0,0,0,0,0,0,0,113,12,4,0,16,0,131,54,5,0,0,5,0,54,3,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,9,0,0,0,0,0,0,0,57,9,0,0,8,0,64,1610,35,3,0,36,0,1651,89,155,8,5,164,0,248,3,10,14,0,24,0,23,0,0,0,0,0,0,0,91,164,14,5,187,0,278,6,0,0,0,0,0,6,1702,202,19,5,223,0,1925
POA4164,11,0,448,29,35,0,0,40,0,64,0,0,3,0,4,0,4,0,0,0,0,0,0,0,29,39,7,0,43,0,69,0,0,0,0,0,0,0,468,47,7,0,50,0,518,148,4,0,0,4,0,155,4,18,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,21,0,23,0,0,0,0,0,0,0,155,23,0,0,23,0,174,53,0,0,0,0,0,51,3,6,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,10,0,0,0,0,0,0,0,49,10,0,0,9,0,65,2750,55,0,0,55,0,2807,102,211,7,0,215,3,319,0,12,5,0,16,0,13,0,0,0,0,0,0,0,105,218,12,0,234,3,340,5,0,0,0,0,0,5,2863,277,12,0,291,4,3152
POA4165,10,0,936,18,40,0,0,39,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,40,0,0,39,0,61,0,0,0,0,0,0,0,942,48,0,0,52,3,997,298,3,0,0,3,0,298,3,15,0,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,15,0,22,0,0,0,0,0,0,0,301,20,0,0,20,0,319,107,0,0,0,0,0,109,3,9,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,15,0,17,0,0,0,0,0,0,0,109,16,0,0,16,0,123,6565,120,0,0,120,3,6689,164,278,3,3,288,0,449,0,7,0,0,12,0,15,3,0,0,0,0,0,4,169,292,9,7,301,0,470,4,0,0,0,0,7,8,6736,413,9,7,428,13,7172
POA4169,0,0,83,8,16,0,0,20,0,28,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,16,3,0,22,0,27,0,0,0,0,0,0,0,87,18,3,0,23,0,109,51,0,0,0,0,0,51,3,11,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,8,0,16,0,0,0,0,0,0,0,55,11,3,0,8,0,65,25,0,0,0,0,0,25,0,7,0,0,7,0,14,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,7,4,0,12,0,16,0,0,0,0,0,0,0,22,7,4,0,12,0,37,689,20,0,0,20,0,706,63,192,4,0,198,0,262,0,12,15,0,26,0,29,0,0,0,3,3,0,0,65,200,15,3,223,0,293,0,0,0,0,0,0,0,756,217,15,3,239,0,993
POA4170,10,0,360,15,27,0,0,25,0,42,0,3,3,0,5,0,5,0,0,0,0,0,0,0,15,27,3,0,35,0,44,0,0,0,0,0,0,0,370,37,3,0,41,0,406,179,4,0,0,5,0,186,3,21,0,0,21,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,21,0,29,0,0,0,0,0,0,0,183,27,0,0,28,0,209,70,0,0,0,0,0,70,3,10,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,12,0,0,0,0,0,0,0,70,11,0,0,11,0,78,3514,103,0,0,103,3,3615,168,377,4,0,385,0,554,0,19,20,0,37,0,40,0,4,0,0,7,0,7,175,403,23,0,427,0,607,6,0,0,0,0,8,10,3687,502,23,3,534,7,4232
POA4171,5,0,341,11,15,0,0,15,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,15,0,25,0,0,0,0,0,0,0,348,20,0,0,20,0,366,169,3,0,0,3,0,169,3,9,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,13,0,0,0,0,0,0,0,174,11,0,0,11,0,189,85,0,0,0,0,0,85,3,11,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,15,0,18,0,0,0,0,0,0,0,85,11,0,0,15,0,105,2546,59,0,0,59,0,2605,132,232,3,0,234,0,365,0,3,6,0,9,0,12,0,0,0,0,0,0,0,130,236,5,4,250,0,380,3,0,0,0,0,0,3,2679,296,5,4,307,0,2987
POA4172,3,0,73,5,9,0,0,9,0,17,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,14,0,0,12,0,18,0,0,0,0,0,0,0,70,16,0,0,14,0,87,28,0,0,0,0,0,28,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,28,6,0,0,6,0,37,11,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,16,580,24,0,0,24,0,603,43,110,3,0,115,0,167,0,12,4,0,11,0,14,0,0,0,0,0,0,0,48,120,6,0,133,0,179,0,0,0,0,0,0,0,627,143,6,0,154,0,782
POA4173,3,0,104,10,24,0,0,24,0,31,0,0,3,0,9,0,7,0,0,0,0,0,0,0,11,25,4,0,29,0,39,0,0,0,0,0,0,0,110,27,4,0,38,0,143,34,0,0,0,0,0,34,3,11,3,0,14,0,18,0,3,4,0,3,0,3,0,0,0,0,0,0,0,3,16,5,0,20,0,19,0,0,0,0,0,0,0,40,16,5,0,20,0,54,17,0,0,0,0,0,17,3,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,8,0,13,0,0,0,0,0,0,0,24,9,0,0,8,0,26,1017,42,0,0,42,0,1056,64,187,9,0,194,0,257,3,21,16,0,37,0,41,0,0,0,0,0,0,0,69,206,27,0,233,0,299,0,0,0,0,0,3,4,1084,249,27,0,276,3,1358
POA4174,0,0,40,4,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,9,0,0,0,0,0,0,0,43,3,0,0,3,0,44,5,0,0,0,0,0,5,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,0,0,0,0,0,0,0,9,5,0,0,3,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,334,8,0,0,8,0,344,27,52,0,0,52,0,80,3,0,3,0,3,0,3,0,0,0,0,0,0,0,32,52,3,0,58,0,88,0,0,0,0,0,0,0,367,61,3,0,66,0,429
POA4178,11,0,439,18,38,0,0,40,0,60,0,4,0,0,3,0,8,0,0,0,0,0,0,0,18,45,4,0,46,0,62,0,0,0,0,0,0,0,445,49,4,0,53,0,505,190,0,0,0,0,0,190,8,24,3,0,28,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,3,0,30,0,40,0,0,0,0,0,0,0,200,24,3,0,30,0,228,65,0,0,0,0,0,65,6,12,0,0,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,12,0,15,0,0,0,0,0,0,0,75,12,0,0,12,0,83,3410,97,4,3,105,3,3515,189,388,15,0,403,0,593,4,19,12,0,31,0,35,4,4,0,4,5,0,6,194,407,29,4,438,0,636,3,0,0,0,0,3,7,3607,509,32,6,546,10,4159
POA4179,6,0,422,14,12,0,0,12,0,29,0,3,0,0,3,0,3,0,3,0,0,3,0,3,14,22,0,0,22,0,30,0,0,0,0,0,0,0,427,24,0,0,28,0,454,174,4,0,0,3,0,178,3,12,0,0,12,0,16,0,3,0,0,3,0,4,0,0,0,0,0,0,0,3,17,0,0,17,0,18,0,0,0,0,0,0,0,176,18,0,0,15,0,197,48,0,0,0,0,0,53,0,7,0,0,7,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,0,0,7,0,5,0,0,0,0,0,0,0,52,5,0,0,6,0,58,3069,87,0,0,92,3,3162,97,172,4,4,184,0,283,3,13,3,0,18,0,15,0,3,0,0,3,0,4,102,192,9,4,200,0,309,7,0,0,0,0,0,7,3176,273,11,8,294,3,3473
POA4183,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,23,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,3,0,0,3,0,208,9,3,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,6,0,11,0,0,0,0,0,0,0,217,3,0,3,11,0,228
POA4184,0,0,56,5,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,10,0,0,0,0,0,0,0,56,3,0,0,3,0,61,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,357,3,0,0,3,0,358,36,19,4,0,18,0,53,5,0,0,0,0,0,5,0,0,0,0,0,0,0,37,19,4,0,18,0,59,0,0,0,0,0,0,0,391,22,4,0,26,0,417
POA4205,0,0,62,4,10,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,10,0,15,0,0,0,0,0,0,0,67,10,0,0,10,0,77,16,0,0,0,0,0,16,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,4,0,0,0,0,0,0,0,13,3,0,0,8,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,5,496,11,0,0,11,0,502,32,54,3,0,52,0,91,0,0,0,0,3,3,8,0,0,0,0,0,0,0,32,54,5,0,62,3,95,0,4,0,0,4,0,3,535,63,5,0,69,3,607
POA4207,30,4,887,41,77,7,0,87,0,125,0,13,14,0,23,0,26,0,0,0,0,0,0,0,41,91,19,0,112,0,150,0,0,0,0,0,0,3,895,120,19,0,142,3,1037,182,5,0,0,5,0,189,7,27,0,0,29,0,35,0,4,6,0,13,0,13,0,0,0,0,0,0,0,7,28,7,0,36,0,47,0,0,0,0,0,0,0,195,32,7,0,41,0,237,82,3,0,0,3,0,83,10,12,0,0,12,0,24,0,3,4,0,9,0,9,0,0,0,0,0,0,0,10,14,4,0,25,0,31,0,0,0,0,0,0,0,85,22,4,0,26,0,110,7386,271,0,0,271,33,7682,314,734,51,0,788,3,1101,5,94,58,0,154,0,161,7,0,0,3,3,0,12,319,826,109,8,944,3,1268,28,0,0,0,0,16,43,7732,1097,109,8,1212,52,8999
POA4208,4,0,486,14,38,0,0,38,0,49,0,3,0,0,3,0,3,0,0,0,0,0,0,0,14,40,0,0,40,0,52,0,0,0,0,0,0,0,492,44,0,0,44,3,537,111,0,0,0,0,0,117,10,21,0,0,21,0,28,0,0,3,0,3,0,3,0,0,0,0,0,0,0,10,21,3,0,23,0,36,0,0,0,0,0,0,0,121,24,3,0,24,0,145,33,0,0,0,0,0,33,3,6,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,12,0,14,0,0,0,0,0,0,0,37,12,0,0,12,0,46,4024,112,0,5,110,6,4147,129,296,9,0,310,0,438,0,20,7,0,25,0,25,0,0,0,0,0,0,0,129,322,20,0,336,0,471,3,0,0,0,0,7,13,4161,429,20,5,450,14,4628
POA4209,29,0,988,40,97,6,0,101,0,140,0,10,0,0,11,0,11,0,3,0,0,3,0,3,39,109,9,0,113,0,156,0,0,0,0,0,0,4,1008,128,11,0,141,0,1150,256,4,0,0,4,0,253,6,60,0,0,57,0,66,0,6,0,0,9,0,9,0,0,0,0,0,0,0,6,58,6,0,66,0,73,0,0,0,0,0,0,0,256,60,6,0,66,0,329,76,0,0,0,0,0,81,9,14,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,15,0,21,0,0,0,0,0,0,0,88,14,0,0,20,0,101,9482,298,4,0,301,13,9799,434,954,41,3,997,13,1435,3,68,24,0,97,0,101,6,4,0,3,11,0,22,447,1029,69,7,1098,13,1555,14,0,0,0,0,11,32,9943,1322,75,7,1400,37,11382
POA4210,6,0,454,20,40,3,0,42,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,3,0,45,0,59,0,0,0,0,0,3,4,469,47,3,0,48,3,523,112,3,0,0,3,0,114,3,22,0,0,27,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,29,0,29,0,0,0,0,0,3,3,113,26,0,0,28,3,143,43,0,0,0,0,0,43,0,8,4,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,15,0,15,0,0,0,0,0,0,0,43,10,4,0,15,0,56,3516,81,0,0,80,0,3601,148,260,13,0,272,0,422,7,6,0,0,11,0,15,0,3,0,0,3,0,3,152,272,18,0,288,0,441,3,0,0,0,0,8,6,3669,350,14,0,370,7,4048
POA4211,30,0,1143,43,128,4,0,131,0,172,3,10,4,0,18,0,25,0,0,0,0,0,0,0,51,141,10,0,151,0,197,3,0,0,0,0,0,3,1161,171,14,0,181,0,1343,327,6,0,0,6,0,338,25,61,6,0,70,0,95,0,9,4,0,13,0,12,0,0,0,0,0,0,3,27,69,12,0,82,0,114,0,0,0,0,0,0,0,356,83,12,0,92,0,451,133,10,0,0,10,0,143,3,31,4,0,35,0,45,0,4,3,0,7,0,7,0,0,0,0,0,0,0,3,36,10,0,40,0,46,0,0,0,0,0,0,0,140,39,10,0,44,0,191,8814,257,7,4,262,15,9095,477,979,45,3,1027,0,1502,17,67,27,4,97,0,109,6,6,0,0,5,0,15,498,1052,71,7,1127,0,1622,6,3,0,0,3,13,23,9313,1311,70,15,1394,34,10742
POA4212,8,0,624,28,61,0,0,65,0,94,0,3,5,0,8,0,8,0,0,0,0,0,0,0,28,66,9,0,70,0,101,0,0,0,0,0,0,0,647,76,9,0,80,0,727,192,6,0,0,6,0,196,14,29,0,0,28,0,39,0,3,7,0,3,0,3,0,0,0,0,0,0,0,14,26,6,0,36,0,51,0,0,0,0,0,0,0,202,39,6,0,46,0,246,91,0,0,0,0,0,91,4,16,0,0,16,0,15,0,0,3,0,3,0,3,0,0,0,0,0,0,0,4,16,3,0,14,0,17,0,0,0,0,0,0,0,92,16,3,0,14,0,107,3794,83,3,3,90,0,3886,195,410,26,0,437,5,632,0,21,22,0,45,0,45,0,5,0,0,5,0,4,194,437,48,3,487,5,685,0,0,0,0,0,0,0,3989,519,45,9,577,3,4573
POA4213,19,0,684,35,53,0,0,55,0,88,0,0,0,0,3,0,3,0,0,0,0,0,0,0,35,55,3,0,55,0,88,0,0,0,0,0,0,0,703,70,3,0,73,0,777,230,3,0,0,3,0,230,14,27,0,0,31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,4,0,31,0,48,0,0,0,0,0,0,0,245,27,4,0,30,0,279,87,3,0,0,3,0,86,0,10,3,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,12,0,20,0,0,0,0,0,0,0,89,13,3,0,16,0,102,5091,166,7,3,172,11,5276,264,330,13,0,339,0,608,4,14,3,0,24,0,27,7,0,0,0,0,0,4,274,343,18,0,360,0,636,3,3,0,0,3,3,9,5370,514,23,3,534,23,5923
POA4214,21,0,738,34,113,13,0,124,0,156,0,11,3,0,21,0,17,0,0,0,0,0,0,0,33,127,14,0,144,0,173,0,0,0,0,0,0,0,749,150,14,0,166,0,909,222,3,0,0,3,0,228,20,71,3,0,79,0,98,0,16,4,0,19,0,19,0,0,0,0,0,0,0,20,89,14,0,100,0,122,0,0,0,0,0,0,0,246,94,14,0,101,0,348,114,0,0,0,0,0,114,10,31,6,0,39,0,48,0,0,15,0,14,0,14,0,0,0,0,0,0,0,10,33,17,0,55,0,63,0,0,0,0,0,0,0,124,33,17,0,55,0,177,4593,157,0,0,155,3,4745,291,882,72,5,957,0,1250,8,102,68,0,169,0,180,0,0,0,0,0,0,0,304,986,132,3,1131,0,1430,3,0,0,0,0,4,8,4898,1140,132,9,1285,6,6190
POA4215,3,0,348,26,88,9,3,95,0,123,0,9,10,0,22,0,22,0,0,0,0,0,0,0,26,98,20,3,116,0,143,0,0,0,0,0,0,0,373,102,20,3,118,0,492,94,3,0,0,4,0,103,10,31,0,0,36,0,41,0,6,6,0,12,0,12,0,0,0,0,0,0,0,10,37,8,0,49,0,53,0,0,0,0,0,0,0,107,46,7,0,48,0,155,47,0,0,0,0,0,47,6,16,0,0,19,0,24,0,7,3,0,11,0,9,0,0,0,0,0,0,0,11,26,4,0,29,0,39,0,0,0,0,0,0,0,58,26,4,0,29,0,85,2760,88,0,0,91,6,2857,286,1029,74,15,1121,0,1405,9,156,82,3,237,0,243,3,11,0,0,11,0,12,294,1189,160,18,1369,0,1668,0,0,0,0,0,10,10,3056,1277,160,20,1457,17,4531
POA4216,14,0,411,22,48,3,0,51,0,71,3,0,0,0,0,0,3,0,0,0,0,0,0,0,24,51,5,0,50,0,78,3,0,0,0,0,0,3,423,58,5,0,68,0,493,161,3,0,0,3,0,169,12,25,0,0,22,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29,3,0,26,0,36,0,0,0,0,0,0,0,171,27,3,0,29,0,205,56,0,0,0,0,0,64,11,12,0,0,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,15,0,26,0,0,0,0,0,0,0,68,17,0,0,16,0,86,3215,111,0,0,111,3,3332,235,487,30,0,523,0,759,10,47,27,0,74,0,82,0,6,0,0,6,0,3,247,542,60,0,601,0,845,3,0,0,0,0,11,14,3464,655,60,0,715,17,4193
POA4217,10,0,412,26,62,8,0,68,0,95,0,5,3,0,13,0,13,0,0,0,0,0,0,0,26,73,11,0,79,0,111,0,0,0,0,0,0,0,433,81,11,0,91,0,521,161,0,0,0,0,0,161,4,30,3,0,34,0,40,0,3,11,0,14,0,14,0,0,0,0,0,0,0,4,28,12,0,43,0,48,0,0,0,0,0,0,0,165,35,12,0,43,0,215,74,0,0,0,0,0,74,3,17,4,0,17,0,23,0,7,10,0,16,0,16,0,0,0,0,0,0,0,3,23,12,0,33,0,37,0,0,0,0,0,0,0,75,23,12,0,33,0,108,2527,118,0,0,118,7,2655,251,799,52,5,859,0,1112,4,68,54,0,120,0,131,0,3,0,0,3,0,3,257,870,107,3,981,0,1239,4,0,0,0,0,5,9,2789,985,107,7,1105,14,3906
