POA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
POA4014,0,0,0,0,0,64,0,0,3,0,0,0,0,0,3,74,28,0,0,0,0,0,0,0,0,0,32,7,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,40,707,180,229,61,46,36,38,24,11,50,1384,215,119,359,50,38,62,28,37,29,25,963,46,6,28,3,3,10,3,5,13,9,125,3,0,4,0,0,0,0,0,0,0,9,264,133,391,51,43,68,33,38,38,36,1104,0,0,0,0,0,0,0,0,0,0,4,972,308,626,109,87,106,73,69,52,86,2487
POA4017,0,0,0,0,4,375,9,9,5,0,0,0,0,0,36,430,100,3,0,0,0,0,0,0,0,23,126,27,0,0,0,0,0,0,0,0,3,30,4,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,3,3,35,0,0,0,0,0,0,0,0,7,39,0,0,0,0,0,0,0,0,0,0,3,135,3,0,0,0,0,0,0,0,32,167,2818,575,742,159,157,83,72,61,34,164,4861,717,321,750,99,125,114,57,61,68,53,2371,66,23,45,8,5,12,5,11,64,26,256,11,0,3,0,0,0,0,3,0,8,26,794,343,795,104,138,131,63,73,132,89,2653,6,0,0,0,0,0,4,0,0,5,22,3620,923,1538,264,291,212,138,135,166,257,7541
POA4018,0,0,0,0,0,172,14,9,0,0,0,0,0,0,4,201,69,3,0,0,0,0,0,0,0,4,70,10,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,86,6,0,0,0,0,0,0,0,3,95,859,190,303,56,49,42,33,38,11,43,1623,541,342,990,145,131,157,132,96,52,43,2628,87,22,36,14,11,12,20,27,28,16,277,9,3,0,0,0,0,3,0,0,0,17,635,370,1027,160,142,171,145,125,78,67,2919,3,0,0,0,0,0,0,0,0,3,7,1501,561,1337,211,186,213,179,165,86,115,4549
POA4019,0,0,0,0,3,305,10,3,0,0,0,0,3,0,17,335,82,3,3,0,0,0,0,0,0,22,109,19,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,3,101,3,3,3,0,0,0,0,0,23,130,2052,300,458,56,97,50,42,35,16,138,3242,335,97,158,33,35,49,35,18,14,23,797,20,10,18,0,3,3,5,0,4,0,68,8,0,0,0,0,0,0,0,0,0,12,367,103,178,36,35,57,43,20,18,27,876,3,0,0,0,0,0,0,0,0,9,9,2425,411,628,94,130,105,86,59,29,172,4137
POA4020,0,0,0,8,9,470,16,20,0,0,0,0,3,0,21,528,122,0,0,0,0,0,0,0,0,8,135,16,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,13,14,145,0,0,0,0,0,0,0,0,21,173,2679,428,543,104,93,72,45,46,27,110,4152,430,139,179,37,52,42,30,41,12,18,984,45,19,11,0,3,4,0,10,3,13,110,4,0,0,0,0,0,0,0,0,0,8,481,158,188,43,58,46,34,46,17,31,1106,6,0,0,0,0,0,0,0,0,23,27,3168,583,733,144,153,119,81,98,43,167,5283
POA4021,0,0,0,0,0,162,3,6,0,0,0,0,0,0,3,179,51,0,0,0,0,0,0,0,0,0,55,7,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,68,953,164,222,53,53,36,9,24,18,45,1574,202,49,106,20,28,37,29,13,0,12,493,16,0,7,3,4,0,3,4,3,5,50,3,0,0,0,0,0,0,0,0,0,5,218,51,112,18,33,39,36,15,6,16,548,8,0,0,0,0,0,0,0,0,3,10,1181,210,336,74,87,79,48,38,28,64,2137
POA4022,0,0,0,0,3,153,16,3,0,0,0,0,0,0,14,184,50,0,0,0,0,0,0,0,0,13,68,3,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,16,76,642,127,157,51,11,22,10,8,5,45,1087,129,46,133,20,14,7,9,5,0,15,375,16,4,0,0,7,0,0,0,4,0,36,3,0,0,0,0,0,0,0,0,0,4,146,54,138,20,15,7,12,9,4,19,416,3,0,0,0,0,0,0,0,0,0,6,794,184,294,72,27,31,20,13,5,70,1511
POA4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,9,3,4,0,0,3,0,0,53,0,0,10,0,3,4,3,7,3,8,38,0,0,0,3,0,0,0,3,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,4,5,15,11,12,59,0,0,0,0,0,0,0,0,0,0,0,25,8,18,3,5,4,5,18,8,15,113
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA4030,0,0,0,0,0,114,3,5,0,0,0,0,0,0,4,121,27,0,0,0,0,0,0,0,0,3,28,19,0,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,3,77,1044,241,322,82,73,69,67,65,34,42,2043,384,156,509,89,124,172,176,172,95,53,1932,95,14,30,7,6,5,16,15,61,19,268,3,0,0,0,0,3,0,0,0,3,13,485,167,538,92,138,184,195,191,156,79,2213,4,0,0,0,0,0,0,0,0,0,7,1529,411,862,174,203,250,261,250,189,129,4262
POA4031,0,0,0,0,0,109,4,0,0,0,0,0,0,0,0,116,30,0,0,0,0,0,0,0,0,0,30,19,0,0,0,0,0,0,0,0,0,19,15,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,69,813,190,206,50,44,25,37,29,19,39,1448,283,129,320,56,83,79,81,62,37,31,1157,49,7,18,12,12,4,5,13,4,10,134,4,0,3,0,0,0,0,0,0,0,15,338,135,339,62,102,79,94,69,48,42,1306,0,0,0,0,0,0,3,0,0,0,3,1147,327,546,113,139,106,132,105,60,75,2758
POA4032,0,0,0,0,0,220,5,0,0,0,0,0,0,0,9,236,45,0,0,0,0,0,0,0,0,5,49,25,0,0,0,0,0,0,0,0,0,25,21,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,94,0,4,0,0,0,0,0,0,5,99,905,188,240,56,64,34,25,32,20,56,1617,543,256,849,156,131,149,166,156,76,64,2535,97,23,59,12,16,20,31,34,41,29,349,8,0,3,0,0,0,0,0,0,0,17,641,280,914,167,146,162,197,184,117,90,2902,0,0,0,0,0,0,0,0,0,8,9,1540,466,1147,217,216,198,231,214,138,155,4523
POA4034,0,0,0,5,3,585,17,5,0,3,5,4,3,0,28,659,115,4,3,0,0,0,0,0,0,8,137,61,0,0,0,0,0,0,0,0,6,69,32,0,0,3,0,0,0,0,0,8,39,0,0,0,0,0,0,0,0,0,0,3,97,0,0,3,0,3,0,0,0,14,118,0,0,0,0,0,0,0,0,0,15,18,210,4,6,3,0,3,0,0,0,39,267,3099,649,841,159,196,134,108,81,52,145,5465,1755,669,1653,208,255,257,312,251,126,99,5599,261,49,102,31,46,57,43,54,62,65,777,17,4,6,3,3,3,0,0,0,3,47,2036,726,1760,246,303,316,362,308,190,169,6421,11,0,0,0,0,0,0,0,0,23,34,5139,1377,2604,409,495,448,467,389,243,338,11922
POA4035,0,0,0,0,0,250,14,12,0,0,0,7,0,0,3,292,66,0,0,0,0,0,0,0,0,5,72,13,3,3,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,27,3,3,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,92,4,3,0,0,0,0,0,0,5,98,1940,508,497,98,78,65,54,49,25,55,3370,739,283,418,70,50,41,56,30,12,36,1736,84,16,22,0,6,3,5,3,3,6,156,0,3,0,0,0,0,0,0,0,0,10,823,306,442,75,57,42,60,35,18,48,1899,0,0,0,0,0,0,0,0,0,0,3,2760,809,938,172,134,107,115,79,45,106,5266
POA4036,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,53,6,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,445,89,96,27,16,11,17,3,8,22,729,145,89,149,36,15,32,26,9,5,11,515,8,3,7,0,6,3,5,3,5,3,49,5,0,0,0,0,0,0,0,0,0,3,159,91,165,37,13,33,31,15,10,17,568,0,0,0,0,0,0,0,0,0,0,0,604,183,261,63,28,42,45,20,19,36,1302
POA4037,0,0,0,0,0,30,4,3,0,0,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,584,263,186,37,41,39,17,20,0,14,1211,147,64,65,3,12,6,4,3,0,3,317,9,0,3,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,152,67,69,3,12,6,4,9,5,3,328,0,0,0,0,0,0,0,0,0,0,3,738,328,256,40,60,43,22,29,5,23,1538
