POA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
POA4014,0,0,0,0,0,0,0,0,0,0,403,632,528,1272,513,471,283,150,46,4297,0,7,11,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,67,31,21,14,17,3,174,0,4,5,6,7,8,3,0,0,32,0,0,3,4,0,0,0,0,0,10,0,0,3,7,5,0,6,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,85,11,17,11,0,0,151,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
POA4017,0,0,0,0,0,0,0,0,0,4,1070,2140,1745,3309,1897,1612,1074,477,193,13517,0,3,4,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,6,14,4,6,3,0,0,38,0,0,0,0,0,0,0,0,0,3,5,4,0,12,6,6,5,4,0,45,0,0,0,0,0,0,0,4,0,9,0,0,3,0,0,3,0,0,0,9,3,68,31,157,190,120,148,79,23,814,0,3,0,25,13,12,16,3,0,73,0,3,0,7,6,3,3,0,0,18,3,0,3,15,6,13,19,7,3,77,0,0,0,0,0,0,4,5,0,12,3,0,0,4,6,5,3,4,0,27,0,23,33,167,38,7,17,8,0,294,0,0,3,5,0,5,3,3,0,23,0,0,0,5,4,0,0,0,0,10,8,15,9,12,10,0,0,0,0,46
POA4018,0,0,0,5,0,3,0,0,0,10,460,466,442,830,304,273,205,166,89,3232,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,26,13,7,3,10,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,5,37,36,25,29,21,11,168,0,0,4,37,8,12,10,0,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,7,0,3,22,0,0,0,0,0,0,3,0,0,3,0,0,9,13,4,11,3,4,0,42,8,23,54,358,35,21,9,3,0,519,0,0,0,11,0,0,0,0,0,16,0,3,0,18,0,0,0,0,0,28,0,3,4,4,3,0,0,0,0,19
POA4019,0,0,0,0,0,0,0,0,0,3,493,1028,864,1691,1043,954,709,323,111,7216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,3,0,15,0,0,0,0,0,0,3,3,0,8,0,0,0,0,3,0,4,0,0,10,3,23,28,66,117,117,131,62,27,571,0,0,5,7,5,3,3,0,0,25,0,0,0,0,4,3,4,3,0,22,0,0,4,7,12,7,6,5,5,48,0,0,0,0,0,0,3,0,0,11,0,0,0,3,0,0,0,0,0,7,0,0,6,17,0,4,0,3,0,31,0,0,0,0,0,0,3,0,0,7,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3
POA4020,0,0,0,3,0,0,0,0,0,3,379,1007,905,1450,1023,1009,844,436,155,7208,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,3,3,0,20,0,0,0,0,0,0,0,0,0,3,0,3,3,9,0,3,0,0,0,16,0,0,0,0,0,0,3,6,0,9,0,0,0,0,0,3,4,0,0,12,0,39,40,99,131,165,178,103,34,780,0,0,0,6,3,3,7,0,0,22,0,0,0,0,4,0,3,3,0,12,0,0,0,3,14,12,9,7,4,56,0,0,0,0,0,0,4,5,0,6,3,0,0,3,0,3,0,0,0,10,0,0,0,13,3,0,5,3,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0
POA4021,0,0,0,0,0,0,0,0,0,0,278,562,471,804,336,365,324,135,50,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,31,60,34,49,23,15,243,0,0,0,4,6,3,0,0,0,15,0,0,0,0,0,0,4,0,0,6,0,0,0,0,3,4,8,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,3,0,0,0,30,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
POA4022,0,0,0,0,0,0,0,0,0,0,213,416,366,495,248,208,211,156,82,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,16,34,18,41,38,14,169,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,8,0,0,0,4,0,0,6,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4025,0,0,0,0,0,0,0,0,0,0,0,5,10,27,16,17,17,9,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,0,0,0,3,0,0,0,0,0,3,437,703,897,2016,753,489,254,74,33,5656,0,0,0,17,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,6,16,7,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,26,20,6,5,3,0,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,3,25,26,102,66,40,21,8,5,302,0,0,7,13,4,3,0,0,0,25,0,0,0,5,3,0,3,0,0,18,0,3,3,11,3,0,0,3,0,19,0,0,0,0,0,0,0,0,0,4,4,5,7,5,8,4,0,0,0,30,5,17,36,194,8,4,9,0,3,272,0,0,0,8,4,0,0,0,0,9,0,0,0,21,3,0,3,0,0,30,0,3,0,0,0,3,0,0,0,12
POA4031,0,0,0,0,3,0,0,0,0,4,432,770,686,1573,698,450,213,94,51,4962,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,8,12,4,3,3,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,3,13,8,65,66,26,17,11,4,219,0,0,0,4,4,0,0,4,0,9,0,0,0,3,3,0,0,0,0,9,0,0,0,5,0,3,4,0,3,15,0,0,0,3,0,0,0,0,0,8,0,0,3,6,0,4,0,0,0,13,3,11,12,122,6,5,0,3,0,161,0,0,0,3,0,3,0,0,0,7,0,3,4,10,3,0,0,0,0,22,0,0,0,4,0,0,0,0,0,6
POA4032,0,0,0,0,3,0,0,0,0,6,419,574,681,1413,541,467,310,309,121,4842,0,0,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,9,0,0,0,3,0,0,0,0,0,3,3,4,19,46,11,4,3,0,0,93,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,10,0,28,10,42,36,29,28,15,10,197,0,0,0,14,10,0,3,0,0,27,0,0,0,9,0,7,0,0,0,12,0,0,0,4,0,3,8,0,0,18,0,0,0,0,0,0,0,5,0,6,0,0,3,11,0,0,0,0,0,16,11,31,35,240,30,11,8,5,0,367,0,0,3,9,0,0,0,0,0,15,0,8,3,31,5,0,0,0,0,50,0,0,0,4,0,0,0,0,0,3
POA4034,0,0,3,3,0,5,0,0,0,18,1307,2119,2070,3901,1641,1542,1162,732,305,14787,0,8,4,6,3,3,0,0,0,18,0,0,3,3,6,3,0,3,0,16,0,0,0,0,0,0,0,0,0,3,0,0,4,19,5,3,11,6,0,46,0,0,0,3,0,0,0,0,0,8,0,9,17,66,34,28,15,12,8,195,0,0,0,0,3,3,3,7,0,15,0,3,0,3,0,0,5,0,0,19,7,35,32,158,133,109,128,72,19,684,0,3,9,72,37,33,19,3,0,181,0,3,3,12,4,3,0,3,0,31,0,0,3,15,6,5,24,9,4,69,0,0,3,4,0,4,9,7,3,35,0,3,4,26,15,20,11,5,0,86,15,44,146,562,90,42,23,11,3,931,0,3,0,6,4,3,0,0,3,27,0,7,4,33,15,0,0,0,0,67,0,0,0,3,0,0,0,0,0,11
