POA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
POA4164,..,37,141,46,26,29,11,37,4,7,329,..,4,22,7,8,3,11,11,3,0,66,..,0,0,0,0,0,0,0,3,0,9,..,0,0,0,0,0,0,0,0,0,0,..,4,22,7,8,3,10,10,8,0,73,..,0,0,0,0,0,0,0,0,0,0,..,37,158,56,34,36,18,44,14,9,406,39,150,150,23,11,9,5,0,7,7,406,7,17,26,3,5,5,3,3,7,0,74,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,12,17,23,8,5,4,3,3,7,0,82,0,0,0,0,0,0,0,0,0,0,0,47,167,174,28,14,10,9,3,10,9,487,71,57,51,14,9,6,9,19,3,7,247,10,15,16,3,6,7,3,8,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13
POA4165,..,42,194,42,48,43,18,16,10,15,438,..,3,32,3,3,15,18,4,0,4,82,..,0,0,0,0,0,0,0,3,0,5,..,0,0,0,0,0,0,0,0,0,0,..,3,34,3,3,11,17,4,4,4,95,..,0,0,0,0,0,0,0,0,0,0,..,45,233,46,49,56,36,20,11,24,525,66,162,199,27,18,6,4,4,9,12,507,3,29,31,6,10,0,0,9,7,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,31,6,10,0,0,9,7,3,100,0,0,0,0,0,0,0,0,0,0,0,71,188,232,29,28,14,7,8,13,17,611,205,98,114,32,16,18,8,3,0,10,515,28,16,64,8,10,10,9,5,6,12,164,0,0,3,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,28,16
POA4169,..,4,19,0,4,4,7,3,10,4,53,..,0,9,5,7,9,4,7,6,0,56,..,0,0,0,0,0,0,8,11,3,24,..,0,0,0,0,0,0,0,0,0,0,..,0,9,5,9,10,5,10,18,3,79,..,0,0,0,0,0,0,0,0,0,0,..,7,32,10,10,16,20,15,28,12,137,47,46,24,6,9,16,16,30,30,17,235,17,26,32,18,18,36,55,87,70,38,395,0,4,0,0,0,0,3,5,28,15,54,0,0,0,0,0,0,0,0,0,4,8,17,32,35,18,18,42,58,94,97,66,460,0,0,0,0,0,0,0,0,0,0,0,61,75,55,30,27,51,71,120,130,77,693,135,57,115,46,42,52,55,58,48,24,631,68,50,167,45,75,94,134,172,130,48,993,4,3,3,0,0,10,15,24,27,16,104,0,0,0,0,0,0,0,0,0,0,5,68,58
POA4170,..,19,73,20,22,23,29,27,4,14,226,..,3,28,18,21,20,12,20,8,3,129,..,0,0,0,0,0,0,5,5,4,16,..,0,0,0,0,0,0,0,0,0,0,..,3,28,18,21,20,8,23,8,7,138,..,0,0,0,0,0,0,0,0,0,0,..,27,105,35,41,38,37,48,13,20,368,68,75,47,4,11,11,16,21,4,16,266,13,32,23,3,9,22,25,32,37,19,217,0,0,0,0,0,0,3,9,16,5,31,0,0,0,0,0,0,0,0,0,0,0,13,32,23,3,9,20,31,39,56,21,254,0,0,0,0,0,0,0,0,0,0,0,81,104,70,10,23,36,43,64,62,34,521,208,77,216,82,62,59,52,32,12,25,833,65,53,198,40,52,54,77,75,25,33,672,0,9,9,4,3,12,10,33,15,20,108,0,0,0,0,0,0,3,0,0,0,4,65,66
POA4171,..,19,65,26,30,17,23,36,12,6,237,..,3,15,3,3,9,18,9,9,0,77,..,0,0,0,0,0,3,3,9,3,13,..,0,0,0,0,0,0,0,0,0,0,..,3,15,3,3,9,20,6,22,4,94,..,0,0,0,0,0,0,0,0,0,0,..,23,88,32,37,28,41,44,30,17,327,30,64,32,5,5,5,3,8,10,0,171,9,11,13,4,3,3,11,3,12,4,70,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,9,11,13,4,3,3,13,3,14,7,72,0,0,0,0,0,0,0,0,0,0,0,34,80,43,8,10,13,14,8,18,6,242,93,45,103,47,22,32,27,26,7,9,404,32,26,75,11,17,16,19,26,17,10,242,0,0,0,0,0,9,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,32,26
POA4172,..,6,21,10,5,0,3,6,3,4,51,..,0,15,4,4,6,3,4,0,0,34,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,15,4,8,6,3,7,3,0,39,..,0,0,0,0,0,0,0,0,0,0,..,3,35,13,12,6,6,11,5,6,98,6,14,9,7,3,5,0,0,4,0,45,0,8,14,0,0,3,3,5,3,3,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,3,3,3,4,7,38,0,0,0,0,0,0,0,0,0,0,0,6,15,22,7,4,9,3,7,8,8,88,29,17,47,13,8,7,5,3,3,3,141,12,8,37,7,16,9,14,9,4,5,118,0,0,0,0,0,0,7,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,8
POA4173,..,7,23,3,3,11,0,4,0,3,58,..,0,15,7,4,11,3,0,3,0,45,..,0,0,0,0,0,3,3,0,3,7,..,0,0,0,0,0,0,0,0,0,0,..,0,15,7,4,10,4,7,3,3,50,..,0,0,0,0,0,0,0,0,0,0,..,10,33,12,7,25,4,9,6,6,110,15,32,27,7,3,0,3,7,3,0,100,4,14,16,5,0,8,3,5,0,0,50,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,4,17,19,5,0,8,3,5,0,7,59,0,0,0,0,0,0,0,0,0,0,0,23,44,46,8,3,5,4,10,5,8,159,35,33,56,7,13,19,6,7,0,5,188,20,19,56,11,4,13,3,7,3,3,138,0,0,0,0,0,0,0,3,0,6,10,0,0,0,0,0,0,0,0,0,0,0,20,19
POA4174,..,3,14,0,3,5,8,3,0,3,36,..,0,0,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,3,14,5,3,6,8,3,0,4,48,3,11,8,0,0,0,0,0,0,3,21,0,0,5,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,3,9,15,0,0,0,3,0,0,7,39,9,8,17,3,0,0,3,0,0,4,51,4,3,24,3,3,0,3,6,0,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3
POA4178,..,31,105,51,39,41,23,33,7,21,354,..,3,33,13,17,12,22,16,6,9,121,..,0,0,0,0,0,3,5,0,0,12,..,0,0,0,0,0,0,0,0,0,0,..,3,32,13,17,12,30,16,6,9,135,..,0,0,0,0,0,0,0,0,3,3,..,32,142,62,54,54,56,44,17,35,495,44,101,107,29,22,29,19,12,7,11,393,9,21,56,9,9,12,20,4,8,0,149,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,9,21,57,9,9,12,21,7,8,4,153,0,0,0,0,0,0,0,0,0,0,0,60,116,171,40,34,37,41,21,19,13,546,122,74,155,36,49,28,27,15,3,10,521,29,34,123,17,27,23,26,14,9,0,301,0,0,0,0,0,3,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,29,33
POA4179,..,18,119,24,33,15,15,21,17,10,282,..,3,16,12,6,14,9,3,7,3,75,..,0,0,0,0,0,0,8,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,3,19,12,6,14,9,11,3,4,79,..,0,0,0,0,0,0,0,0,3,3,..,23,136,36,42,33,24,30,16,23,364,23,85,57,5,15,7,0,3,5,3,207,3,21,21,3,3,7,0,3,4,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,21,3,3,7,0,3,4,4,76,0,0,0,0,0,0,0,0,0,0,0,22,107,79,11,19,13,0,9,8,9,277,74,52,76,24,18,7,13,15,5,10,292,11,24,40,13,10,8,8,11,0,3,130,0,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,11,29
POA4183,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,3,7,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,7,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,3,3,6,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,3,0,5,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4184,..,8,4,0,9,3,0,0,0,3,29,..,0,4,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,3,3,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,6,8,0,9,7,4,3,0,4,38,6,10,8,0,3,0,0,0,3,0,29,0,6,3,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,13,12,11,0,7,0,3,0,3,3,50,19,4,7,0,4,0,0,0,0,0,34,4,0,7,0,3,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
POA4205,..,3,17,6,0,0,6,0,4,0,41,..,0,6,0,6,5,0,0,0,3,19,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,6,0,6,5,0,0,3,3,17,..,0,0,0,0,0,0,0,0,0,0,..,3,22,6,5,10,8,0,7,8,56,17,10,10,3,3,3,3,0,3,0,54,4,3,7,0,0,0,8,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,4,7,0,0,0,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,18,14,18,3,3,3,8,3,3,0,75,19,8,14,0,3,0,3,0,0,3,52,5,7,13,0,7,3,0,4,3,0,44,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,5,7
POA4207,..,48,200,46,72,45,53,35,3,36,551,..,10,90,31,23,35,16,19,9,6,232,..,0,3,0,0,0,5,4,3,0,24,..,0,0,0,0,0,0,0,0,4,7,..,10,94,31,24,33,25,23,12,16,254,..,0,3,0,0,0,0,0,0,0,9,..,56,295,77,95,81,79,59,18,55,817,113,221,218,40,49,26,27,16,20,31,767,22,46,159,12,20,19,35,23,21,6,366,0,0,6,0,0,7,4,0,4,3,24,0,0,0,0,0,0,0,0,0,0,0,22,46,167,12,19,25,36,26,23,7,391,0,0,0,0,0,3,0,0,0,3,7,137,269,389,51,70,51,65,44,42,46,1164,392,153,227,45,73,37,27,29,11,50,1048,125,82,222,38,36,41,29,30,13,16,643,3,4,15,10,3,7,6,8,0,4,59,0,0,3,0,0,3,0,0,0,0,8,122,89
POA4208,..,35,146,28,52,20,24,25,17,17,354,..,0,34,3,7,11,7,0,0,0,66,..,0,0,0,0,3,0,6,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,34,3,7,9,7,9,0,0,72,..,0,0,0,0,0,0,0,0,0,0,..,34,176,25,58,34,33,37,18,17,429,34,99,152,17,18,4,15,10,4,18,362,3,19,28,0,11,5,6,3,4,3,79,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,19,28,0,6,5,8,3,4,0,88,0,0,0,0,0,0,0,0,0,0,0,35,113,188,15,30,12,24,15,7,20,453,165,73,130,28,32,22,10,7,10,6,488,11,31,72,7,5,7,15,7,0,3,166,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,31
POA4209,..,79,576,157,205,151,132,90,51,68,1508,..,5,85,17,33,20,34,27,3,7,237,..,0,0,0,0,3,4,13,14,4,44,..,0,0,0,0,0,0,0,0,0,0,..,5,85,17,33,27,39,42,21,8,282,..,0,0,0,0,0,0,0,3,0,3,..,86,664,173,242,175,169,128,78,79,1792,121,340,534,78,81,85,57,49,34,59,1445,17,55,99,16,19,11,32,22,23,17,302,0,0,3,0,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,0,3,17,54,102,16,19,16,35,23,22,18,319,0,0,0,0,0,0,0,0,0,3,4,143,396,636,94,103,106,93,73,51,78,1773,432,289,556,154,156,99,65,54,28,62,1892,89,103,288,33,44,36,47,33,18,16,706,0,0,10,4,6,4,3,4,7,4,38,0,0,3,0,0,0,0,0,0,0,3,89,103
POA4210,..,32,140,48,30,40,21,21,3,17,351,..,11,19,5,5,0,16,0,0,3,63,..,0,0,0,0,0,0,3,3,0,5,..,0,0,0,0,0,0,0,0,0,0,..,11,19,5,5,3,15,0,3,3,68,..,0,0,0,0,0,0,0,0,0,0,..,39,161,56,34,41,36,23,9,18,420,63,145,143,27,23,12,17,9,3,14,449,3,17,29,6,0,3,7,6,3,3,81,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,17,32,6,0,3,11,6,3,8,85,0,0,0,0,0,0,0,0,0,0,0,70,159,174,34,23,12,25,13,6,26,535,152,84,143,29,18,19,22,8,3,11,499,38,27,57,6,3,7,7,3,4,0,165,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,38,27
POA4211,..,72,325,97,78,58,64,42,35,42,812,..,19,104,19,24,14,32,21,8,12,261,..,0,0,0,0,6,4,10,8,6,31,..,0,3,0,0,0,0,0,0,0,3,..,24,103,19,24,22,35,31,15,21,290,..,0,0,0,0,0,0,0,0,0,0,..,90,431,117,105,80,99,72,47,66,1103,149,315,362,48,43,31,40,25,25,34,1062,30,73,93,9,6,15,29,25,11,16,312,0,0,0,3,0,3,4,0,7,5,20,0,0,0,0,0,0,0,0,0,0,5,26,76,99,17,6,19,34,23,22,22,341,0,0,0,0,0,0,0,0,0,0,0,177,389,458,68,51,46,70,49,44,56,1403,395,241,374,94,69,61,51,49,20,39,1388,97,111,285,45,42,56,30,29,14,20,735,0,0,14,0,0,6,12,11,3,4,47,0,0,3,0,0,0,0,0,0,0,3,101,113
POA4212,..,46,163,49,50,42,27,22,23,27,457,..,14,49,4,20,15,15,10,14,5,144,..,0,0,0,0,0,3,3,0,0,10,..,0,0,0,0,0,0,0,0,0,0,..,14,49,4,20,15,24,15,16,11,157,..,0,0,0,0,0,0,0,0,0,0,..,55,211,57,69,56,53,38,38,35,611,63,176,205,18,25,17,13,22,16,14,571,6,36,55,11,16,22,22,11,3,3,186,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,6,36,55,11,16,20,22,12,6,7,191,0,0,0,0,0,0,0,0,0,0,5,70,214,258,36,42,38,33,32,26,24,770,160,95,117,21,18,32,25,25,21,15,518,59,35,107,17,12,14,14,10,7,3,283,0,0,4,0,6,3,3,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,55,35
POA4213,..,45,179,26,53,40,36,24,5,17,427,..,12,35,12,5,10,6,9,0,0,88,..,0,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,12,37,12,5,6,7,8,0,3,92,..,0,6,0,0,0,0,0,0,0,6,..,52,219,34,63,47,45,30,5,20,526,74,160,134,13,16,10,3,8,3,8,437,13,42,27,3,8,3,9,7,4,3,113,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,13,42,30,3,6,3,9,7,5,3,118,0,0,0,0,0,0,0,0,0,0,0,82,207,166,16,20,11,15,15,8,13,549,149,99,95,18,16,14,11,10,3,7,425,26,24,31,3,3,12,7,7,0,7,121,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,30,24
POA4214,..,39,189,38,52,40,34,18,21,37,478,..,16,88,24,16,17,30,14,5,9,217,..,0,0,0,0,0,3,3,7,4,17,..,0,0,0,0,0,0,0,0,0,3,..,17,86,26,16,17,30,22,13,10,233,..,0,0,0,0,0,0,0,0,0,5,..,56,270,64,72,64,66,38,33,47,712,126,232,199,33,20,27,30,26,19,24,748,56,133,154,20,29,48,56,102,63,34,691,0,0,3,0,0,10,12,22,21,16,81,0,0,0,0,0,0,0,3,0,0,6,56,139,151,27,35,57,68,126,79,45,771,0,0,0,0,0,0,0,0,0,0,0,179,367,353,54,53,88,95,150,102,75,1516,232,119,190,47,34,30,31,16,11,32,741,126,121,229,33,62,50,46,26,24,14,736,0,13,20,3,8,9,6,9,9,3,74,0,0,0,0,0,0,0,0,0,0,3,126,130
POA4215,..,28,128,39,36,43,46,32,18,23,389,..,11,97,31,43,48,60,47,27,25,392,..,0,0,0,3,13,12,28,33,7,102,..,0,0,0,0,0,0,0,0,0,0,..,11,96,31,45,66,72,79,61,32,502,..,0,0,0,0,0,0,3,0,3,8,..,39,225,74,84,111,118,113,80,55,893,120,173,194,55,52,45,51,62,64,36,857,73,124,200,65,115,171,279,250,160,58,1490,0,3,5,0,17,34,38,71,64,38,272,0,3,0,0,0,0,3,0,0,0,9,78,130,204,65,132,207,323,319,221,96,1771,0,0,0,0,0,0,0,0,0,3,4,198,306,398,119,181,249,378,389,289,139,2636,299,181,309,81,79,77,62,62,31,37,1223,185,213,724,155,184,215,186,184,93,49,2181,3,6,51,15,20,36,61,63,46,35,337,0,6,5,0,0,0,0,0,0,0,14,184,228
POA4216,..,36,111,42,47,33,37,23,29,27,381,..,11,39,10,22,21,40,18,8,10,170,..,0,0,0,0,0,6,5,6,3,32,..,0,0,0,0,0,0,0,0,0,0,..,11,36,10,22,21,43,27,15,15,201,..,0,0,0,0,0,0,0,0,4,5,..,47,148,51,74,51,83,48,43,49,589,66,156,159,23,19,22,28,14,14,22,527,23,44,52,11,29,39,46,48,18,18,320,0,3,0,3,0,6,6,8,3,11,39,0,0,0,0,0,0,0,0,0,0,0,23,43,50,14,29,43,56,58,18,24,362,0,0,0,0,0,0,0,0,0,0,0,91,199,207,40,54,65,80,77,38,49,888,175,102,170,39,41,35,39,31,26,13,666,60,88,201,44,62,61,57,33,18,9,636,0,3,14,3,10,4,6,9,9,3,56,0,0,4,0,0,0,0,0,0,0,4,60,91
POA4217,..,25,111,19,25,42,26,22,16,20,307,..,6,82,23,25,31,50,21,20,15,275,..,0,3,0,5,11,12,15,19,15,81,..,0,0,0,0,0,0,0,0,3,6,..,6,85,25,28,39,56,36,43,38,359,..,0,0,0,0,0,0,0,0,10,8,..,32,199,44,57,83,82,64,61,61,679,75,137,106,25,32,41,45,87,85,42,684,27,53,98,37,60,121,175,200,196,92,1056,0,8,4,3,3,11,11,35,49,43,173,0,0,0,0,0,0,0,0,0,0,3,27,64,102,39,57,132,193,236,244,137,1231,0,0,0,0,0,0,0,0,0,9,11,106,199,206,67,92,180,234,325,329,189,1927,161,112,235,73,80,72,89,113,81,47,1074,98,115,544,89,133,194,364,346,212,112,2219,0,8,35,7,23,27,35,51,74,75,332,0,0,3,0,0,0,3,8,0,4,19,98,124
POA4218,..,21,92,29,23,20,17,21,11,15,255,..,3,31,7,5,17,27,8,14,14,127,..,0,0,0,0,0,8,9,4,3,20,..,0,0,4,0,0,0,0,0,0,4,..,3,31,9,5,17,30,12,15,18,155,..,0,0,0,0,0,0,0,0,0,0,..,27,127,38,29,41,45,39,26,37,408,81,111,98,14,17,30,29,40,20,21,461,15,33,39,3,14,44,52,54,29,8,290,0,0,0,0,5,0,5,4,15,4,34,0,0,0,0,0,0,0,0,0,0,5,17,36,39,3,23,44,52,58,42,13,331,0,0,0,0,0,0,0,0,0,4,4,97,145,138,20,34,71,82,102,64,33,792,191,104,221,69,72,63,61,57,29,34,886,66,50,230,40,46,68,89,101,42,18,764,3,0,12,3,3,8,12,12,15,8,63,0,0,3,0,0,3,0,0,0,0,7,70,55
POA4220,..,24,92,23,20,21,13,11,11,15,225,..,0,20,8,8,12,9,11,0,9,67,..,0,0,0,3,0,0,0,3,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,20,8,15,12,7,10,3,9,76,..,0,0,0,0,0,0,0,0,0,0,..,21,113,34,27,32,16,22,11,20,307,60,94,85,14,6,4,14,13,13,11,316,7,9,20,3,12,15,13,17,13,10,119,0,0,0,0,0,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,10,9,20,3,12,15,13,18,9,12,124,0,0,0,0,0,0,0,0,0,0,0,67,103,108,16,23,21,31,35,24,30,443,194,99,189,46,50,38,45,37,16,24,744,27,38,83,20,31,62,53,45,28,13,408,0,0,5,0,0,0,0,3,4,3,17,0,0,0,0,0,0,0,0,0,0,4,28,36
