POA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA4159,576,16,0,0,16,0,596,25,35,0,0,36,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,34,0,0,35,0,64,3,0,0,0,0,0,0,600,56,0,0,56,0,662,670,13,0,0,13,0,684,24,42,0,0,41,0,63,0,0,0,0,5,0,5,0,0,0,0,0,0,0,24,40,0,0,46,0,66,0,0,0,0,0,0,0,692,54,0,0,55,0,747,383,11,0,0,11,0,395,10,21,3,0,27,0,35,0,5,0,0,5,0,5,0,0,0,0,0,0,0,10,28,3,0,26,0,36,0,0,0,0,0,0,0,394,36,3,0,36,0,434,242,7,0,0,7,0,246,10,16,0,0,16,0,29,0,0,3,0,5,0,5,0,0,0,0,0,0,0,10,22,3,0,22,0,34,0,0,0,0,0,0,0,247,28,3,0,30,0,275,337,7,0,0
POA4160,587,21,0,0,21,3,607,32,39,0,0,39,0,75,0,0,0,0,4,0,4,0,0,0,0,0,0,0,30,45,3,0,43,0,73,0,0,0,0,0,3,4,618,62,3,0,68,6,693,764,25,0,0,23,0,788,28,49,0,0,51,0,87,0,0,0,0,4,0,4,0,0,0,0,0,0,0,28,54,0,0,58,0,91,0,0,0,0,0,3,3,795,78,0,3,82,4,875,547,10,0,0,10,0,561,22,27,0,0,28,0,56,0,0,0,0,0,0,3,3,0,0,0,0,0,3,24,28,0,0,35,0,57,0,0,0,0,0,0,0,576,38,0,0,39,0,619,361,9,0,0,9,0,371,13,22,0,0,23,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0,0,22,0,43,0,0,0,0,0,0,0,374,31,0,0,33,0,410,493,10,0,0
POA4161,674,15,0,0,15,0,688,18,51,3,0,50,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,51,5,0,50,0,69,0,0,0,0,0,0,0,688,63,5,0,71,0,759,728,21,0,0,21,0,743,17,41,0,0,48,0,66,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,45,3,0,45,0,64,0,0,0,0,0,0,4,751,61,3,0,68,0,812,372,12,0,0,12,0,381,10,30,0,0,31,0,44,0,0,0,0,5,0,5,0,0,0,0,0,0,0,10,30,4,0,36,0,45,0,0,0,0,0,0,0,384,40,4,0,41,0,425,259,10,0,0,10,0,266,5,11,0,0,17,0,26,0,3,0,0,3,0,3,0,0,0,0,0,0,0,5,19,0,0,18,0,27,0,0,0,0,0,0,0,268,25,0,0,29,0,299,311,12,0,0
POA4163,306,9,0,0,12,0,319,17,39,0,0,39,0,53,0,3,0,0,3,0,3,0,0,0,0,0,0,0,16,41,0,0,41,0,56,6,0,0,0,0,0,6,327,52,0,0,52,0,380,404,6,0,0,4,0,412,36,42,4,0,39,0,75,0,0,3,0,3,0,6,0,0,0,0,0,0,0,39,40,3,0,45,0,81,0,0,0,0,0,0,0,439,49,7,0,55,0,494,276,4,0,0,4,0,281,9,23,0,3,27,0,36,0,4,0,0,4,0,4,0,0,0,0,0,0,0,9,24,0,3,25,0,37,0,0,0,0,0,0,0,291,30,0,3,33,0,324,174,8,0,0,8,0,186,9,22,0,0,21,0,29,0,3,3,0,3,0,3,0,0,0,0,0,0,0,9,22,4,0,25,0,31,0,0,0,0,0,0,0,186,31,4,0,34,0,219,283,5,0,0
POA4164,603,11,0,0,11,0,615,23,40,3,0,45,0,66,0,0,0,0,3,0,4,0,0,0,0,0,0,0,18,47,4,0,48,0,69,3,0,0,0,0,0,3,623,59,4,0,62,3,690,708,16,0,0,16,0,727,26,53,0,0,53,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,53,0,0,53,0,78,4,0,0,0,0,0,4,736,67,0,0,67,0,802,476,6,0,0,6,0,482,21,39,0,0,38,0,57,0,4,0,0,4,0,4,0,0,0,0,0,0,0,21,42,0,0,37,0,55,0,0,0,0,0,0,0,494,46,0,0,48,0,542,322,11,0,0,11,0,333,8,24,0,0,24,0,30,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,24,0,0,22,0,32,0,0,0,0,0,0,0,326,32,0,0,29,0,359,445,11,0,0
POA4165,1593,40,0,0,40,0,1638,64,72,0,3,71,0,134,0,3,0,0,3,0,8,0,0,0,0,0,0,0,67,75,0,3,77,0,142,0,0,0,0,0,0,3,1656,118,0,3,122,0,1779,1870,35,0,0,35,0,1911,41,74,3,3,75,0,114,0,3,0,0,6,0,6,3,0,0,0,0,0,3,41,74,5,3,78,0,120,0,0,0,0,0,0,3,1917,108,5,3,117,4,2030,1087,20,0,0,20,3,1111,24,52,0,0,51,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,0,0,51,0,73,0,0,0,0,0,0,0,1107,73,0,0,73,3,1182,683,15,0,0,15,0,696,17,23,0,0,23,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,23,0,41,0,0,0,0,0,0,3,698,31,0,0,37,0,738,927,10,0,0
POA4169,222,11,0,0,11,0,235,28,77,0,0,82,0,110,0,7,8,0,15,0,15,0,0,0,3,3,0,0,24,90,8,4,100,0,128,0,0,0,0,0,0,0,249,100,8,4,113,0,360,154,3,0,0,3,0,160,13,49,0,0,49,0,67,0,0,0,0,6,0,6,0,0,0,0,0,0,0,13,55,0,0,56,0,70,0,0,0,0,0,0,0,167,55,0,0,59,0,224,91,0,0,0,0,0,91,5,14,0,0,14,0,24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,19,0,0,21,0,29,0,0,0,0,0,0,0,104,19,0,0,21,0,122,57,0,0,0,0,0,57,4,6,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,9,0,15,0,0,0,0,0,0,0,65,9,0,0,9,0,73,82,0,0,0
POA4170,1126,48,0,0,48,0,1168,61,152,0,0,150,0,215,3,11,6,0,17,0,22,0,3,0,0,3,0,3,62,163,10,0,171,0,240,3,0,0,0,0,0,3,1191,206,10,0,217,0,1410,1007,29,0,0,29,5,1040,57,97,3,0,99,0,155,0,3,4,0,4,0,4,0,0,0,0,0,0,3,53,107,7,0,111,0,167,0,0,0,0,0,0,0,1059,136,7,0,138,3,1209,487,15,0,0,15,4,503,18,35,0,0,39,0,56,0,0,8,0,7,0,7,0,0,0,0,0,0,0,18,40,4,0,43,0,66,0,0,0,0,0,0,0,510,51,4,0,55,3,568,290,9,0,0,9,0,295,13,34,0,0,34,0,43,0,0,0,0,3,0,3,0,0,0,0,0,0,0,13,37,0,0,39,0,47,0,0,0,0,0,0,0,303,38,0,0,41,0,342,356,10,0,0
POA4171,664,19,0,0,19,0,682,50,86,0,0,86,0,134,0,3,0,0,4,0,4,0,0,0,0,0,0,0,50,87,0,4,88,0,140,3,0,0,0,0,0,3,718,107,0,4,110,0,825,696,26,0,0,26,0,715,44,63,0,0,68,0,114,0,0,0,0,3,0,3,0,0,0,3,3,0,3,44,67,3,3,72,0,119,0,0,0,0,0,0,0,737,88,3,3,93,0,835,345,8,0,0,8,0,352,16,27,0,0,27,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,0,0,28,0,41,0,0,0,0,0,0,0,360,34,0,0,34,0,398,247,3,0,0,3,0,253,6,15,0,0,15,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,15,0,19,0,0,0,0,0,0,0,261,16,0,0,16,0,275,334,5,0,0
POA4172,189,5,0,0,5,0,195,14,34,4,0,33,0,54,0,5,0,0,6,0,6,0,0,0,0,0,0,0,14,41,5,0,41,0,57,0,0,0,0,0,0,0,203,42,5,0,48,0,252,166,6,0,0,6,0,172,16,33,0,0,38,0,50,0,0,0,0,3,0,4,0,0,0,0,0,0,0,13,37,3,0,42,0,51,0,0,0,0,0,0,0,181,45,3,0,46,0,226,80,5,0,0,5,0,80,9,15,0,0,15,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,20,0,23,0,0,0,0,0,0,0,83,25,0,0,25,0,107,42,0,0,0,0,0,41,4,11,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,8,0,16,0,0,0,0,0,0,0,41,9,0,0,12,0,55,66,3,0,0
POA4173,337,24,0,0,24,0,366,18,68,3,0,72,0,91,0,5,0,0,5,0,4,0,0,0,0,0,0,0,19,72,7,0,75,0,96,0,0,0,0,0,0,0,362,95,7,0,98,0,462,305,6,0,0,6,0,317,14,50,0,0,52,0,67,0,9,3,0,16,0,16,0,0,0,0,0,0,0,14,56,3,0,65,0,80,0,0,0,0,0,0,0,323,66,3,0,71,0,395,132,0,0,0,0,0,127,10,12,0,0,15,0,24,0,3,4,0,3,0,3,0,0,0,0,0,0,0,10,15,3,0,23,0,27,0,0,0,0,0,0,0,142,17,3,0,23,0,162,86,0,0,0,0,0,86,11,11,0,0,18,0,23,0,0,3,0,8,0,8,0,0,0,0,0,0,0,11,18,4,0,17,0,27,0,0,0,0,0,0,0,93,18,4,0,17,0,115,103,3,0,0
POA4174,101,0,0,0,0,0,101,5,18,0,0,18,0,29,0,0,3,0,3,0,4,0,0,0,0,0,0,0,9,18,3,0,23,0,30,0,0,0,0,0,0,0,110,22,3,0,27,0,137,100,6,0,0,6,0,107,8,13,0,0,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,0,13,0,21,0,0,0,0,0,0,0,108,23,0,0,23,0,124,54,0,0,0,0,0,55,5,9,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,9,0,11,0,0,0,0,0,0,0,59,12,0,0,12,0,70,31,0,0,0,0,0,31,3,8,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,0,9,0,0,0,0,0,0,0,35,8,0,0,8,0,40,40,0,0,0
POA4178,990,39,0,0,39,3,1035,59,127,0,0,128,0,188,3,3,4,0,9,0,13,0,0,0,4,0,0,4,65,128,9,4,139,0,202,0,0,0,0,0,0,0,1054,173,9,4,178,4,1239,927,34,0,0,32,3,965,72,102,6,0,106,0,177,0,11,5,0,8,0,8,0,0,0,0,0,0,0,72,111,6,0,118,0,192,0,0,0,0,0,0,0,998,144,13,0,151,3,1154,510,7,0,0,12,0,524,16,48,3,0,52,0,69,0,0,3,0,4,0,4,0,0,0,0,0,0,0,16,54,3,0,59,0,72,3,0,0,0,0,0,4,533,62,9,0,67,0,600,295,6,0,0,8,0,301,12,31,0,0,33,0,47,3,0,0,0,0,0,7,0,0,0,0,0,0,0,11,37,3,0,37,0,49,0,0,0,0,0,0,0,305,42,4,0,49,0,360,428,5,0,0
POA4179,778,42,0,0,42,3,819,25,63,3,0,66,0,88,0,0,0,0,4,0,4,0,0,0,0,0,0,0,29,63,5,0,64,0,95,0,0,0,0,0,0,0,804,101,5,0,108,3,914,851,25,0,0,25,0,874,29,53,0,0,56,0,91,0,0,0,0,3,0,3,0,0,0,0,0,0,0,29,57,3,0,55,0,92,5,0,0,0,0,0,5,886,79,3,0,83,0,965,503,9,0,0,9,0,520,18,24,3,0,21,0,44,0,3,0,0,3,0,3,0,0,0,0,0,0,0,18,25,3,0,25,0,46,0,0,0,0,0,0,0,522,39,3,0,40,0,564,298,3,0,0,3,0,304,3,9,0,0,15,0,17,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,14,0,0,13,0,21,0,0,0,0,0,0,0,307,14,0,0,18,0,327,408,4,0,0
POA4183,62,3,0,0,3,0,64,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,62,3,0,0,3,0,69,65,0,0,0,0,0,65,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,70,0,0,0,0,0,70,32,0,0,0,0,0,32,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,31,0,0,0,3,0,32,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,23,18,0,0,0
POA4184,69,3,0,0,3,0,71,10,6,0,0,9,0,19,3,0,0,0,0,0,3,0,0,0,0,0,0,0,9,6,0,0,9,0,18,0,0,0,0,0,0,0,82,8,0,0,12,0,94,122,0,0,0,0,0,124,11,3,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,12,0,0,0,0,0,0,0,130,3,0,0,3,0,141,52,0,0,0,0,0,52,10,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,3,0,9,0,0,0,0,0,0,0,63,3,0,0,3,0,70,39,0,0,0,0,0,39,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,46,0,0,0,0,0,46,56,0,0,0
POA4205,164,0,0,0,0,0,166,14,12,0,0,12,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,13,0,0,13,0,23,0,0,0,0,0,0,0,180,10,0,0,10,0,194,147,3,0,0,3,0,146,10,11,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,11,0,25,0,0,0,0,0,0,0,158,13,0,0,13,0,167,60,0,0,0,0,0,58,4,11,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,6,0,11,0,0,0,0,0,0,0,59,13,0,0,14,0,73,50,3,0,0,3,0,54,3,14,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,13,0,11,0,3,0,0,3,0,3,54,13,0,0,14,0,66,62,0,0,0
POA4207,2228,99,0,0,99,13,2340,105,244,13,0,259,3,360,3,31,13,0,44,0,44,0,0,0,3,0,0,6,110,274,27,3,301,3,417,9,0,0,0,0,7,18,2349,372,27,3,403,23,2775,2169,75,0,0,75,12,2254,74,205,22,0,228,0,297,3,22,3,0,28,0,30,4,0,0,3,3,0,6,78,226,23,3,257,0,330,11,0,0,0,0,3,19,2258,303,23,3,329,14,2608,1128,36,0,0,36,0,1170,51,101,7,0,108,0,159,0,16,4,0,25,0,21,0,0,0,0,0,0,0,52,122,14,0,133,0,182,7,0,0,0,0,3,6,1184,158,14,0,167,7,1360,731,23,0,0,23,4,761,28,67,3,0,65,0,95,0,4,10,0,12,0,12,0,0,0,0,0,0,0,28,69,15,0,81,0,111,0,0,0,0,0,0,0,767,97,15,0,104,4,874,851,30,0,0
POA4208,1184,39,0,0,40,0,1219,45,79,8,0,81,0,126,0,10,0,0,9,0,9,0,0,0,0,0,0,0,45,86,5,0,89,0,134,0,0,0,0,0,0,0,1222,123,5,0,132,3,1359,1163,41,0,3,44,3,1208,36,86,0,0,85,0,121,0,3,0,0,7,0,7,0,0,0,0,0,0,0,36,87,3,0,90,0,129,0,0,0,0,0,0,0,1198,134,3,3,135,3,1339,669,16,0,0,16,0,690,17,38,3,0,45,0,64,0,5,0,0,6,0,6,0,0,0,0,0,0,0,17,46,0,0,45,0,70,0,0,0,0,0,3,3,693,62,0,0,65,3,765,385,8,0,0,8,0,394,9,31,0,0,31,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,0,0,34,0,44,0,0,0,0,0,0,0,394,41,0,0,40,3,441,483,4,0,0
POA4209,3104,112,0,0,112,9,3218,165,314,14,3,328,8,500,3,20,9,0,25,0,28,3,3,0,0,3,0,4,176,337,18,3,359,8,534,3,0,0,0,0,4,6,3280,443,18,3,464,12,3757,2842,83,0,0,83,7,2931,117,265,13,0,276,4,393,0,23,10,0,31,0,29,3,3,0,0,3,0,6,116,288,22,0,308,4,433,3,0,0,0,0,7,9,2966,375,22,0,394,16,3373,1428,39,3,0,41,0,1472,53,132,6,0,141,4,202,0,7,3,0,14,0,13,3,0,0,0,0,0,3,59,140,9,0,154,4,214,3,0,0,0,0,3,7,1495,183,11,0,196,6,1701,811,27,0,0,31,0,848,43,70,3,0,78,0,118,0,11,3,0,9,0,9,0,0,0,0,0,0,0,43,78,7,0,89,0,129,0,0,0,0,0,0,3,856,114,8,0,118,0,975,966,22,3,0
POA4210,964,25,0,0,25,0,987,38,58,0,0,58,0,92,3,0,0,0,0,0,8,0,0,0,0,0,0,0,40,63,0,0,60,0,97,0,0,0,0,0,3,3,998,82,0,0,87,3,1083,1036,26,0,0,26,0,1062,43,70,3,0,69,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,72,3,0,74,0,112,0,0,0,0,0,0,0,1080,93,3,0,94,0,1177,579,14,0,0,14,0,595,24,33,3,0,35,0,59,0,0,0,0,0,0,4,0,3,0,0,3,0,3,22,41,3,0,42,0,63,0,0,0,0,0,0,0,599,53,3,0,57,0,659,343,7,0,0,7,0,354,26,23,0,0,28,0,46,5,0,0,0,0,0,7,0,0,0,0,0,0,0,28,23,4,0,29,0,57,0,0,0,0,0,0,0,372,35,4,0,39,0,411,448,6,0,0
POA4211,2547,73,0,0,76,5,2633,144,287,10,3,301,0,446,0,18,4,0,21,0,19,3,0,0,0,3,0,5,149,310,15,6,328,0,475,0,3,0,0,3,3,8,2696,388,15,4,405,8,3109,2545,74,0,0,70,7,2626,155,232,13,0,239,0,402,3,19,5,3,21,0,24,3,0,0,0,4,0,7,163,243,16,5,267,0,432,0,0,0,0,0,3,6,2712,320,18,5,337,10,3061,1321,44,0,0,44,0,1365,61,148,7,0,153,0,221,5,7,0,0,10,0,15,0,0,0,0,0,0,0,67,158,7,0,160,0,232,0,0,0,0,0,4,4,1393,199,7,0,202,4,1601,824,23,0,0,21,3,854,30,92,4,0,91,0,122,0,5,5,0,13,0,13,0,0,0,0,0,0,0,30,94,4,0,106,0,134,0,0,0,0,0,3,5,855,117,4,0,130,5,993,1107,28,3,0
POA4212,804,15,0,0,15,0,826,52,111,6,0,115,0,168,0,13,0,0,13,0,13,0,0,0,0,0,0,0,52,125,6,0,130,0,187,0,0,0,0,0,0,0,860,145,6,0,149,0,1015,987,24,0,0,29,0,1019,48,94,6,0,99,0,145,0,3,7,0,13,0,13,0,0,0,0,0,0,0,47,99,14,0,110,0,161,0,0,0,0,0,0,0,1040,120,12,3,141,0,1178,648,14,0,0,14,0,660,29,64,9,0,72,0,101,0,0,0,0,3,0,3,0,3,0,0,3,0,3,29,66,8,0,74,0,109,0,0,0,0,0,0,0,679,79,14,0,91,0,772,452,13,0,0,13,0,464,14,38,3,0,41,0,56,0,3,0,0,3,0,3,0,0,0,0,0,0,0,14,44,3,0,48,0,62,0,0,0,0,0,0,0,466,53,3,0,55,0,530,619,5,0,0
POA4213,1200,36,4,3,42,3,1243,70,48,0,0,49,0,116,3,3,0,0,3,0,9,0,0,0,0,0,0,0,67,52,4,0,60,0,124,0,0,0,0,0,0,0,1267,91,4,3,95,3,1368,1481,50,0,0,57,3,1535,82,86,0,0,88,0,165,0,6,0,0,6,0,7,0,0,0,0,0,0,0,84,93,3,0,96,0,178,0,0,0,0,0,0,0,1563,144,3,0,146,4,1720,884,31,0,0,31,0,917,38,68,0,0,64,0,105,0,0,0,0,3,0,3,0,0,0,0,0,0,0,37,68,3,0,67,0,111,0,0,0,0,0,3,3,922,92,3,0,96,9,1031,557,27,0,0,27,3,580,25,38,0,0,40,0,63,0,3,0,0,4,0,4,0,0,0,0,0,0,0,26,41,3,0,40,0,69,0,0,0,0,0,0,0,580,66,3,0,67,3,650,666,19,0,0
POA4214,1079,47,0,0,47,0,1126,70,245,16,3,268,0,339,0,18,13,0,33,0,39,0,0,0,0,0,0,0,77,269,37,3,300,0,375,0,0,0,0,0,0,0,1155,313,37,3,352,0,1506,1228,50,0,0,50,0,1276,83,214,13,4,225,0,316,3,36,9,0,45,0,45,0,0,0,0,0,0,0,86,248,29,4,272,0,364,0,0,0,0,0,3,3,1313,294,29,4,327,3,1640,754,27,0,0,27,0,781,52,122,8,0,131,0,186,4,12,9,0,16,0,17,0,0,0,0,0,0,0,54,134,13,0,146,0,206,0,0,0,0,0,0,3,817,159,13,0,173,4,992,478,12,0,0,12,0,491,24,84,4,0,86,0,109,0,7,4,0,13,0,13,0,0,0,0,0,0,0,24,98,11,0,104,0,127,0,0,0,0,0,0,0,501,104,11,0,113,0,621,716,20,0,0
