POA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
POA4169,5142,..,..,..,..,5142,..,11,0,11,0,11,..,46,7,51,0,49,..,0,0,0,0,0,..,49,7,48,0,48,..,105,21,121,0,124,..,14,4,11,0,11,..,158,30,185,0,190,..,6,0,6,0,6,..,20,0,20,0,20,..,55,0,54,0,54,..,36,0,37,0,37,..,40,6,50,0,50,..,4,0,4,0,4,..,57,0,56,0,56,..,18,0,23,0,23,..,10,0,10,0,10,..,14,0,14,0,14,..,62,3,70,4,70,..,171,3,176,4,177,..,63,5,71,0,67,..,30,10,42,3,39,..,31,15,48,0,48,..,0,0,0,0,0,..,0,0,0,0,0,..,50,9,53,0,53,..,11,0,11,0,13,..,27,3,35,0,35,..,3,0,3,0,3,..,10,0,13,0,15,..,17,0,17,0,17,..,12,4,17,0,17,..,13,0,10,0,12,..,8
POA4170,9817,..,..,..,..,9817,..,26,0,26,0,27,..,24,3,27,0,29,..,0,0,0,0,0,..,40,5,45,0,45,..,88,21,107,0,107,..,5,3,9,0,9,..,134,29,162,0,162,..,13,0,13,0,13,..,17,0,17,0,17,..,49,3,51,0,51,..,45,0,49,0,49,..,42,3,41,0,41,..,14,0,13,0,13,..,70,7,84,0,84,..,90,5,93,0,93,..,12,0,17,0,17,..,10,0,10,0,10,..,43,0,40,0,40,..,238,13,258,0,258,..,52,4,55,3,55,..,39,8,45,0,45,..,48,40,92,0,92,..,0,0,0,0,0,..,0,0,0,0,0,..,32,4,38,0,38,..,17,0,17,0,20,..,15,0,14,0,14,..,10,0,10,0,10,..,12,0,13,0,13,..,17,0,17,0,17,..,14,0,14,0,14,..,28,0,30,0,30,..,4
POA4171,6472,..,..,..,..,6472,..,16,0,16,0,19,..,15,3,12,0,12,..,0,0,0,0,0,..,14,3,19,0,19,..,39,9,43,0,43,..,0,0,0,0,0,..,48,8,60,0,60,..,7,0,7,0,7,..,25,3,26,0,28,..,29,5,38,0,36,..,45,0,43,0,43,..,36,0,36,0,36,..,3,0,3,0,3,..,16,0,13,0,13,..,10,0,10,0,10,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,8,0,8,..,35,3,39,0,39,..,46,0,49,0,49,..,16,3,14,0,14,..,4,3,5,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,10,3,11,0,11,..,17,3,26,0,26,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,3
POA4172,1708,..,..,..,..,1708,..,13,0,13,0,13,..,0,0,0,0,3,..,3,0,3,0,3,..,10,0,15,0,15,..,19,6,30,0,30,..,0,0,0,0,0,..,35,8,43,0,43,..,5,0,5,0,5,..,0,0,0,0,0,..,10,0,11,0,11,..,7,0,7,0,7,..,9,0,9,0,9,..,0,0,0,0,0,..,24,0,19,0,19,..,12,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,15,0,17,0,17,..,48,4,50,0,50,..,8,0,8,0,8,..,3,0,3,0,3,..,12,8,23,0,23,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,10,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,3
POA4173,3311,..,..,..,..,3311,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,23,3,21,0,21,..,18,13,30,0,30,..,0,0,3,0,3,..,41,15,56,0,56,..,10,0,10,0,10,..,4,0,4,0,4,..,9,0,9,0,9,..,12,0,12,0,11,..,26,5,31,0,31,..,0,0,0,0,0,..,33,0,33,0,33,..,17,0,16,0,16,..,18,0,22,0,22,..,0,0,0,0,0,..,13,0,18,0,18,..,82,4,88,0,88,..,22,0,22,0,22,..,0,3,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,6,0,6,0,6,..,17,0,17,0,17,..,0,0,0,0,0,..,23,0,23,0,23,..,3,0,3,0,3,..,13,0,13,0,13,..,3
POA4174,981,..,..,..,..,981,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,4,10,0,10,..,4,3,5,0,5,..,0,0,0,0,0,..,4,6,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,7,0,7,0,7,..,11,3,13,0,13,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,32,3,31,0,31,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,4,0,4,..,0,0,0,0,0,..,5,0,3,0,3,..,10,0,10,0,10,..,0
POA4178,10601,..,..,..,..,10601,..,30,0,30,0,30,..,15,0,15,0,15,..,7,0,7,0,7,..,20,3,25,0,25,..,57,18,72,0,71,..,4,3,13,0,13,..,77,25,102,0,106,..,9,3,13,0,13,..,14,3,16,0,16,..,45,3,43,0,43,..,23,0,22,0,26,..,21,4,26,0,26,..,0,0,0,0,0,..,42,0,42,0,42,..,42,0,42,0,45,..,22,0,22,0,22,..,3,0,3,0,3,..,14,3,19,0,19,..,126,5,131,0,136,..,35,3,37,0,37,..,15,0,17,0,17,..,10,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,11,3,16,0,16,..,3,0,3,0,3,..,12,0,12,0,12,..,9,3,9,0,10,..,0,0,0,0,0,..,28,0,28,0,28,..,3,0,3,0,3,..,50,0,54,0,54,..,4
POA4179,8384,..,..,..,..,8384,..,17,0,17,0,17,..,24,3,28,0,28,..,0,0,0,0,0,..,12,6,17,0,17,..,20,3,29,0,29,..,5,0,10,0,10,..,44,9,52,0,52,..,3,0,3,0,3,..,14,0,14,0,14,..,30,0,33,0,33,..,20,0,20,0,20,..,18,3,16,0,16,..,0,0,0,0,0,..,17,0,17,0,17,..,8,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,6,3,9,0,9,..,39,4,50,0,50,..,17,0,16,4,17,..,22,3,29,0,29,..,12,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,11,0,11,..,14,3,17,0,17,..,8,0,5,0,5,..,6,0,6,0,6,..,3,0,3,0,3,..,12,4,17,0,17,..,0,0,0,0,0,..,8,0,12,0,12,..,0
POA4183,951,..,..,..,..,951,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
POA4184,3082,..,..,..,..,3082,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,10,0,10,..,6,0,5,0,5,..,10,0,8,0,8,..,22,0,22,0,22,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,6,0,4,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,7,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,0
POA4205,2122,..,..,..,..,2122,..,3,0,3,0,3,..,4,3,7,0,7,..,0,0,0,0,0,..,12,7,18,0,18,..,11,8,20,0,21,..,0,0,0,0,0,..,20,20,35,0,36,..,0,0,0,0,0,..,5,3,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,7,0,8,0,8,..,0,0,0,0,0,..,6,0,6,3,14,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,3,21,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,0,0,3,0,3,..,7,0,11,0,11,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,3
POA4207,23172,..,..,..,..,23172,..,39,0,40,0,40,..,37,3,45,0,45,..,5,0,5,0,5,..,32,4,43,0,43,..,63,23,91,0,91,..,0,0,0,0,0,..,102,36,134,0,134,..,18,0,19,0,19,..,46,3,49,0,49,..,42,5,41,0,47,..,76,0,76,6,80,..,26,4,24,0,24,..,4,0,4,0,4,..,70,0,71,0,71,..,47,3,45,0,45,..,7,0,7,0,7,..,25,3,23,0,23,..,22,0,22,0,22,..,168,9,178,0,178,..,30,4,37,0,37,..,30,3,33,3,38,..,9,7,17,0,17,..,0,0,0,0,0,..,3,0,10,0,10,..,16,8,26,0,26,..,50,3,57,0,57,..,34,6,35,0,35,..,120,3,126,0,126,..,18,3,27,0,27,..,66,0,66,3,67,..,26,0,26,0,26,..,68,0,68,0,68,..,13
POA4208,8680,..,..,..,..,8680,..,62,0,59,0,61,..,9,0,9,0,9,..,0,0,0,0,0,..,7,0,9,0,9,..,33,6,40,0,40,..,4,0,5,0,5,..,48,8,54,0,54,..,12,0,15,0,15,..,15,0,21,0,21,..,16,0,19,0,19,..,29,0,30,0,34,..,9,0,9,0,9,..,0,0,0,0,0,..,8,0,8,0,8,..,22,4,23,0,23,..,3,0,3,0,3,..,3,0,3,0,3,..,12,0,14,0,14,..,46,3,49,0,49,..,17,0,21,0,21,..,12,0,12,0,12,..,14,6,18,0,18,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,8,0,8,0,8,..,13,7,22,0,22,..,14,0,14,0,14,..,4,3,3,0,3,..,6,0,6,0,6,..,4,0,4,0,4,..,3,0,3,0,3,..,0
POA4209,20732,..,..,..,..,20732,..,120,0,120,0,121,..,60,10,70,0,70,..,3,0,3,0,3,..,42,11,57,0,57,..,122,34,161,0,163,..,11,0,13,0,13,..,183,49,228,0,228,..,21,3,31,0,32,..,21,0,21,0,21,..,38,0,40,0,40,..,55,4,59,4,65,..,24,3,26,0,26,..,6,0,6,0,6,..,58,3,56,0,56,..,60,4,66,4,72,..,19,0,19,0,19,..,8,0,8,0,8,..,35,3,33,0,33,..,179,14,190,4,200,..,63,0,61,0,64,..,77,10,92,0,92,..,106,34,138,3,146,..,5,0,5,0,5,..,10,0,10,0,10,..,15,3,19,0,19,..,21,0,20,0,20,..,24,3,31,0,31,..,96,4,94,0,94,..,17,4,24,0,24,..,28,0,31,0,31,..,14,0,14,0,14,..,58,3,58,0,58,..,14
POA4210,8258,..,..,..,..,8258,..,49,0,49,0,49,..,11,0,11,0,11,..,0,0,0,0,0,..,19,0,23,0,23,..,53,18,71,0,71,..,0,0,0,0,0,..,69,21,91,0,91,..,17,0,17,0,17,..,13,0,13,0,13,..,14,0,14,0,14,..,32,3,35,0,35,..,10,0,10,0,10,..,3,0,3,0,3,..,14,4,15,0,15,..,4,0,4,0,4,..,9,0,9,0,9,..,8,0,8,0,8,..,6,0,6,0,6,..,47,4,46,0,46,..,23,0,24,0,24,..,41,6,41,0,41,..,16,15,30,0,30,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,22,0,22,0,22,..,12,3,16,0,16,..,14,0,14,0,14,..,10,0,10,0,10,..,6,0,11,0,11,..,5,0,5,0,5,..,11,0,7,0,7,..,3
POA4211,25078,..,..,..,..,25078,..,65,3,63,0,63,..,69,0,74,0,74,..,7,0,7,0,7,..,62,20,80,0,83,..,206,48,255,4,256,..,17,3,20,0,20,..,276,71,353,4,359,..,52,12,58,0,58,..,53,3,57,0,57,..,98,11,106,4,108,..,117,0,120,3,119,..,62,4,70,0,69,..,42,0,42,0,44,..,55,0,59,0,59,..,75,11,90,0,90,..,16,0,22,0,22,..,26,0,26,0,26,..,58,3,59,0,59,..,273,19,289,4,293,..,96,0,93,0,100,..,178,39,216,0,216,..,104,32,134,3,139,..,20,0,17,0,17,..,9,0,14,0,14,..,42,3,40,0,40,..,43,3,39,0,40,..,41,5,47,0,47,..,48,3,48,0,48,..,56,6,67,3,65,..,45,0,45,0,45,..,30,0,32,0,32,..,48,0,44,0,47,..,20
POA4212,11416,..,..,..,..,11416,..,87,0,82,0,82,..,32,0,33,0,33,..,0,0,0,0,0,..,41,8,43,0,43,..,149,44,199,0,199,..,7,3,11,0,11,..,196,57,249,0,249,..,16,3,16,0,16,..,31,0,37,0,38,..,37,3,43,0,45,..,57,0,57,0,58,..,15,6,22,0,18,..,5,0,5,0,5,..,24,0,27,0,27,..,16,4,19,0,19,..,10,0,10,0,10,..,27,0,27,0,27,..,9,0,15,0,15,..,88,10,99,0,99,..,50,0,48,0,48,..,68,11,77,0,77,..,38,12,50,3,47,..,6,0,5,0,5,..,6,0,6,0,6,..,20,3,21,0,21,..,15,0,12,0,12,..,33,3,37,0,37,..,15,0,15,0,15,..,21,0,21,0,21,..,3,0,3,0,3,..,21,0,21,0,21,..,10,0,9,0,9,..,3
POA4213,12441,..,..,..,..,12441,..,70,0,70,0,70,..,14,0,13,0,13,..,0,0,0,0,0,..,27,6,30,0,30,..,65,15,78,0,78,..,8,0,8,0,8,..,96,20,116,0,116,..,15,0,18,0,18,..,30,0,27,0,27,..,43,3,46,0,46,..,70,3,76,0,72,..,17,3,21,0,21,..,0,0,0,0,0,..,28,0,28,0,28,..,11,0,11,0,11,..,5,0,5,0,5,..,0,0,0,0,0,..,12,0,12,0,12,..,54,0,54,0,54,..,39,0,41,0,41,..,90,6,94,0,94,..,11,7,15,0,15,..,14,0,14,0,14,..,10,0,10,0,8,..,0,0,0,0,0,..,15,6,18,0,18,..,28,0,28,0,28,..,8,0,8,4,16,..,11,3,16,0,16,..,10,0,7,0,7,..,3,0,8,0,8,..,12,0,12,0,12,..,0
POA4214,14191,..,..,..,..,14191,..,28,0,28,0,28,..,67,0,69,0,70,..,4,0,4,0,4,..,133,34,165,4,172,..,427,129,560,0,561,..,23,11,35,0,35,..,582,173,756,3,764,..,38,8,53,0,53,..,25,0,25,0,25,..,67,0,70,0,70,..,82,5,92,0,93,..,73,3,73,0,77,..,41,3,40,0,40,..,54,0,54,0,54,..,19,0,20,0,23,..,26,3,29,0,24,..,26,0,26,0,26,..,35,0,35,0,35,..,194,7,201,3,199,..,59,3,65,0,65,..,196,27,220,0,220,..,191,50,241,0,242,..,4,0,4,0,4,..,9,0,9,0,9,..,40,5,44,0,44,..,21,3,27,0,27,..,29,4,30,0,30,..,20,0,20,0,20,..,36,5,38,0,38,..,39,0,38,0,38,..,23,0,25,0,25,..,38,0,38,0,38,..,10
POA4215,16659,..,..,..,..,16659,..,32,0,29,0,29,..,203,25,229,0,228,..,7,0,7,0,8,..,154,41,194,7,194,..,623,183,806,3,812,..,43,15,61,0,61,..,818,238,1058,4,1067,..,52,9,61,0,61,..,26,0,26,0,26,..,102,5,110,4,110,..,94,4,98,0,98,..,63,6,71,0,71,..,27,3,32,0,32,..,113,3,114,0,121,..,106,11,118,0,114,..,18,0,24,0,24,..,25,0,25,0,25,..,95,7,98,0,98,..,387,26,411,0,414,..,119,10,126,0,127,..,272,93,369,0,369,..,365,183,550,4,553,..,14,3,18,0,18,..,6,0,6,0,6,..,102,17,119,0,119,..,38,0,40,0,42,..,59,9,74,0,74,..,26,0,26,0,26,..,75,18,93,0,91,..,66,0,66,0,66,..,47,3,52,0,57,..,87,3,94,0,94,..,23
POA4216,14534,..,..,..,..,14534,..,38,0,37,0,37,..,58,7,67,0,67,..,0,0,0,0,0,..,60,19,76,0,76,..,203,77,272,3,281,..,23,8,28,0,32,..,283,101,380,3,381,..,21,6,26,0,22,..,24,0,24,0,24,..,66,4,69,0,69,..,67,4,76,0,73,..,48,0,47,0,46,..,23,0,26,0,26,..,29,0,29,0,26,..,39,3,41,0,41,..,6,0,6,0,6,..,46,0,52,0,52,..,28,3,26,0,29,..,168,11,175,3,177,..,75,4,79,3,81,..,86,27,110,0,110,..,47,12,59,3,62,..,13,3,9,0,9,..,13,0,13,0,13,..,32,7,40,0,40,..,25,0,25,0,23,..,44,0,47,0,47,..,14,0,13,0,17,..,38,7,40,3,44,..,22,0,22,0,22,..,14,0,14,0,14,..,39,0,42,0,42,..,11
POA4217,13467,..,..,..,..,13467,..,29,0,29,0,29,..,203,26,224,7,229,..,0,0,0,0,0,..,120,40,163,0,167,..,346,139,480,6,486,..,27,13,37,0,37,..,494,193,681,8,692,..,51,3,57,0,57,..,40,0,40,0,40,..,103,3,104,3,110,..,104,0,108,0,108,..,92,15,106,0,106,..,20,0,20,0,20,..,150,7,155,3,157,..,263,20,285,0,282,..,9,0,9,0,9,..,22,0,22,0,22,..,244,4,249,3,250,..,707,32,739,4,744,..,215,15,226,3,227,..,231,99,331,3,333,..,114,49,166,0,162,..,18,0,18,0,16,..,4,0,4,0,4,..,72,8,83,0,82,..,37,0,42,0,42,..,62,8,74,0,76,..,18,0,18,0,18,..,40,3,46,0,46,..,17,0,22,0,22,..,40,0,40,0,40,..,30,0,30,0,30,..,12
POA4218,12280,..,..,..,..,12280,..,12,0,12,0,10,..,36,0,35,0,35,..,0,0,0,0,0,..,71,32,104,0,103,..,142,61,200,0,201,..,3,3,11,0,10,..,214,100,311,3,318,..,38,0,46,0,46,..,27,0,27,0,27,..,61,0,61,0,63,..,62,5,60,0,60,..,72,10,81,0,81,..,3,0,3,0,3,..,22,0,22,0,22,..,72,9,80,0,80,..,0,0,0,0,0,..,7,0,7,0,7,..,34,0,34,0,32,..,136,9,145,0,143,..,141,24,165,8,171,..,153,26,175,0,175,..,11,9,23,0,23,..,11,0,12,0,12,..,9,0,9,0,7,..,16,0,17,0,17,..,26,3,28,0,31,..,16,3,18,0,19,..,12,0,12,0,12,..,40,7,40,0,40,..,24,0,24,0,24,..,11,0,11,0,11,..,15,0,15,0,15,..,3
POA4220,12822,..,..,..,..,12822,..,13,0,13,0,13,..,9,3,7,0,7,..,0,0,0,0,0,..,26,13,38,0,42,..,41,6,43,0,43,..,0,0,0,0,0,..,71,14,83,0,88,..,20,0,20,0,22,..,18,0,18,0,18,..,52,3,60,0,58,..,72,3,75,3,72,..,23,0,23,0,26,..,0,0,0,0,0,..,10,0,10,0,10,..,10,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,10,0,10,..,28,0,33,0,33,..,46,3,47,4,52,..,67,9,79,0,81,..,14,3,16,0,16,..,9,0,8,0,8,..,6,0,11,0,11,..,0,3,5,0,5,..,13,0,13,0,13,..,9,3,19,0,19,..,3,0,3,0,3,..,13,3,16,0,18,..,13,0,13,0,13,..,10,0,10,0,10,..,12,0,11,0,11,..,3
POA4221,11607,..,..,..,..,11607,..,17,0,17,0,17,..,0,0,0,0,0,..,7,0,7,0,7,..,20,0,17,0,17,..,13,8,16,0,16,..,0,0,0,0,0,..,25,10,39,0,39,..,5,0,5,0,5,..,16,0,20,0,20,..,26,3,32,0,32,..,41,0,44,0,44,..,7,0,7,0,7,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,3,0,3,..,19,0,22,0,22,..,36,3,42,0,38,..,68,3,69,0,69,..,3,0,3,0,3,..,6,0,5,0,5,..,7,0,7,0,7,..,0,0,0,0,0,..,6,3,12,0,12,..,4,0,3,0,3,..,5,0,9,0,9,..,17,9,25,0,25,..,9,0,9,0,9,..,5,0,5,0,9,..,3,0,3,0,3,..,0
