POA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
POA4014,0,0,0,13,0,3,0,0,0,23,0,0,0,8,0,0,4,0,0,16,0,0,3,0,0,0,0,0,0,11,0,0,0,9,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,13,0,0,0,8,3,0,4,3,0,14,3,19,38,120,55,32,15,5,0,270,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,4,0,0,0,35,0,7,16,36,25,3,0,0,0,86,0,0,0,3,0,0,0,0,0,6,0,0,0,4,3,0,4,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,4,15,4,0,0,0,0,21
POA4017,0,3,9,33,22,6,3,3,3,79,0,0,0,7,3,7,11,11,3,53,0,3,3,3,3,0,0,0,0,16,0,4,0,7,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,6,0,0,3,7,10,7,0,4,0,32,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,9,0,0,0,3,0,0,0,0,0,9,0,4,0,17,3,0,0,0,0,27,0,3,0,11,5,3,15,11,6,46,9,62,97,251,157,124,49,22,6,769,0,3,0,4,11,3,3,0,0,26,0,0,0,0,3,0,0,0,0,10,0,3,6,24,18,5,3,0,0,57,0,22,39,71,27,24,6,0,0,196,0,0,0,8,3,3,0,3,0,21,0,4,0,19,26,18,16,14,0,106,0,5,0,9,4,3,0,0,0,22,0,10,14,54,19,10,6,7,0,111
POA4018,3,0,0,10,0,0,0,3,0,13,0,0,0,0,0,4,3,7,6,24,0,0,0,3,4,0,0,0,0,8,3,0,3,8,0,0,0,0,0,22,0,3,0,3,0,0,0,0,0,8,0,0,0,14,0,0,6,0,0,20,0,0,0,0,0,0,3,0,0,5,0,3,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,3,3,38,3,0,0,0,0,45,0,0,0,3,3,3,7,3,0,15,3,37,25,118,46,39,26,6,0,301,0,0,0,3,0,0,0,0,0,11,0,3,0,4,0,0,0,0,0,7,0,0,6,10,12,0,3,0,0,32,6,35,32,94,37,19,7,3,0,222,0,0,0,3,0,3,0,0,0,12,0,0,0,0,8,8,5,6,0,32,0,0,0,9,0,0,0,0,0,11,0,4,9,20,11,9,0,0,0,57
POA4019,0,0,0,13,7,0,4,3,0,30,0,0,0,3,3,0,7,4,3,17,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,4,6,5,17,11,4,47,3,41,52,176,112,79,64,23,5,555,0,0,0,0,9,0,3,3,0,13,0,0,0,4,0,0,0,0,0,4,0,0,3,15,8,6,0,0,0,43,0,12,4,17,4,0,3,0,0,43,0,0,0,0,0,4,0,0,0,6,0,0,0,8,5,16,32,14,5,79,0,0,0,0,0,0,0,0,0,3,0,3,3,15,19,8,0,3,0,49
POA4020,3,3,4,10,13,3,4,6,3,46,0,0,0,4,3,8,10,13,0,35,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,17,0,0,0,0,3,0,3,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,29,15,4,64,4,40,67,140,110,119,78,24,3,588,0,0,0,0,4,8,9,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,7,3,0,0,34,0,0,11,8,3,7,0,0,0,34,0,0,0,3,3,10,0,0,0,18,0,4,4,9,17,18,13,13,0,80,0,0,0,4,8,0,0,0,0,10,0,3,12,19,26,10,19,0,0,97
POA4021,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,9,3,0,15,0,34,43,118,52,42,28,10,3,335,0,0,0,0,0,3,3,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,13,3,4,3,25,8,0,0,0,0,44,0,0,0,3,0,0,0,0,0,4,0,0,3,0,3,6,6,4,0,29,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,3,0,0,0,28
POA4022,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,15,0,22,33,46,38,17,20,8,9,200,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,7,0,22,0,0,0,0,3,0,0,0,0,3,0,6,4,8,9,0,0,0,0,35
POA4025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,0,0,0,31,3,8,0,0,0,44,0,0,0,12,4,5,20,22,14,75,0,3,5,3,0,0,0,0,0,16,0,4,3,16,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,18,3,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,3,27,106,0,0,0,0,0,142,0,0,0,3,0,0,3,0,0,7,3,13,30,132,58,27,24,7,0,288,0,0,0,3,0,0,3,0,0,6,0,0,0,11,0,0,0,0,0,10,0,0,7,11,9,4,3,0,0,29,0,3,9,26,3,3,0,0,0,50,0,0,0,7,3,0,3,0,3,11,0,0,3,14,10,14,4,3,4,56,3,3,5,9,0,0,0,0,0,22,0,3,12,35,13,3,0,0,0,66
POA4031,3,0,0,16,3,0,0,0,3,28,0,0,0,3,8,8,17,20,13,67,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,5,0,12,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,6,17,0,0,0,0,0,30,0,0,0,3,3,3,0,0,0,8,5,9,22,93,48,22,13,6,0,212,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,5,9,8,7,3,0,0,27,0,4,6,18,3,4,0,0,0,43,0,0,0,6,0,0,0,3,0,8,0,3,0,6,3,4,4,3,0,23,0,0,0,7,3,0,0,3,0,7,0,0,4,21,3,7,3,0,0,35
POA4032,0,8,3,23,3,0,0,0,0,38,0,0,0,3,5,4,20,30,22,86,0,0,0,3,0,0,0,0,0,8,0,4,12,43,6,5,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,3,3,20,9,7,0,3,0,46,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,8,3,0,0,0,0,18,0,0,4,22,0,0,0,0,0,29,0,0,0,0,4,3,8,5,0,14,9,25,43,100,38,46,24,9,4,286,0,0,0,0,0,0,6,0,0,8,0,4,0,14,0,0,0,0,0,20,0,0,5,11,3,5,3,3,0,42,3,12,28,64,28,11,0,0,0,150,0,0,0,3,0,0,0,0,0,3,0,0,3,4,13,7,5,3,3,34,0,0,7,7,3,0,0,0,0,20,0,0,8,8,6,0,4,0,0,24
POA4034,0,3,3,17,9,8,7,10,3,62,0,0,0,5,15,14,49,55,37,167,4,8,3,4,5,0,3,0,0,25,0,8,9,28,6,7,0,0,0,55,0,0,0,3,0,4,0,0,0,9,0,0,9,15,11,13,17,0,0,69,0,0,0,0,3,0,5,3,0,10,0,0,0,0,0,0,0,0,0,9,0,0,18,37,7,3,0,0,0,67,0,7,22,35,8,0,0,0,0,75,0,0,0,7,3,8,14,6,3,40,11,100,125,384,167,135,72,20,8,1024,0,0,0,7,3,3,3,0,4,17,0,0,9,28,5,3,0,0,0,43,0,14,50,28,22,11,9,6,0,153,5,31,40,114,67,25,5,6,0,279,0,0,0,4,0,7,3,3,3,24,0,3,3,24,10,16,22,21,3,93,0,3,6,18,3,0,0,0,0,32,0,6,28,61,31,16,17,6,0,160
